'河南省促进高新技术产业发展条例',河南省人民代表大会常务委员会,2011-06-13,现行有效,地方性法规及文件
'鹤壁市人民政府办公室关于印发2016年鹤壁市加快产业集聚区建设专项工作方案的通知',鹤壁市人民政府办公室,2016-05-30,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发2016年商丘市加快产业集聚区建设专项工作方案的通知',商丘市人民政府办公室,2016-05-06,现行有效,地方政府规章及文件
'平顶山市人民政府关于加快消化库存商品房促进房地产业平稳健康发展的意见',平顶山市人民政府,2016-05-03,已失效,地方政府规章及文件
'新乡市人民政府关于支持生物医药产业发展的意见',新乡市人民政府,2016-04-28,现行有效,地方政府规章及文件
'新乡市人民政府关于印发新乡市大健康产业发展规划《2016-2020年》的通知',新乡市人民政府,2016-04-20,现行有效,地方政府规章及文件
'濮阳市人民政府关于加快发展体育产业促进体育消费的实施意见',濮阳市人民政府,2016-04-19,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发鹤壁市产业扶贫基地创建实施方案的通知',鹤壁市人民政府办公室,2016-04-18,现行有效,地方政府规章及文件
'驻马店市人民政府关于加快发展体育产业促进体育消费的实施意见',驻马店市人民政府,2016-03-24,现行有效,地方政府规章及文件
'新乡市人民政府关于新乡市加快发展体育产业促进体育消费的实施意见',新乡市人民政府,2016-03-15,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于印发漯河市加快产业集聚区提质转型创新发展三年行动计划的通知',漯河市人民政府办公室,2016-03-14,现行有效,地方政府规章及文件
'固始县人民政府办公室印发关于扶持茶叶蚕桑产业发展助推精准扶贫的实施意见的通知',信阳市固始县人民政府办公室,2016-03-09,现行有效,地方政府规章及文件
'周口市人民政府关于加快发展体育产业促进体育消费的实施方案',周口市人民政府,2016-02-26,现行有效,地方政府规章及文件
'商丘市人民政府关于加快发展体育产业促进体育消费的实施意见',商丘市人民政府,2016-01-31,现行有效,地方政府规章及文件
'平顶山市人民政府印发关于加强全市产业集聚区安全生产监督管理工作意见的通知',平顶山市人民政府,2016-01-20,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发《新乡市房地产业类企业风险管理暂行办法》的通知',新乡市人民政府办公室,2015-12-11,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市大健康产业发展规划编制工作实施方案的通知',新乡市人民政府办公室,2015-09-06,已失效,地方政府规章及文件
'周口市人民政府关于加快产业集聚区提质转型创新发展的实施意见',周口市人民政府,2015-08-24,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发鹤壁市现代家居产业推进实施方案(2015—2017年)的通知',鹤壁市人民政府办公室,2015-07-21,现行有效,地方政府规章及文件
'濮阳市人民政府关于印发加快产业集聚区提质转型创新发展的实施意见的通知',濮阳市人民政府,2015-07-16,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于印发鼓励扶持中国(漯河)电子商务产业园发展暂行办法(试行)的通知',漯河市人民政府办公室,2015-07-15,现行有效,地方政府规章及文件
'焦作市人民政府办公室关于印发2015年焦作市加快产业集聚区建设专项工作方案的通知',焦作市人民政府办公室,2015-06-19,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于转发《2015豫沪产业转移系列对接活动平顶山市工作方案》的通知',平顶山市人民政府办公室,2015-06-12,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发商丘市参加豫沪产业转移合作系列对接活动工作方案的通知',商丘市人民政府办公室,2015-05-25,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发2015年鹤壁市加快产业集聚区建设专项工作方案的通知',鹤壁市人民政府办公室,2015-05-07,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于转发《2015年平顶山市加快产业集聚区建设专项工作方案》的通知',平顶山市人民政府办公室,2015-04-24,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于加快肉牛肉羊产业发展的实施意见',商丘市人民政府办公室,2015-03-12,现行有效,地方政府规章及文件
'漯河市人民政府关于进一步深化产业集聚区安全生产示范园区创建活动的意见',漯河市人民政府,2015-02-13,现行有效,地方政府规章及文件
'鹤壁市人民政府关于加快镇域特色产业发展的指导意见',鹤壁市人民政府,2015-02-02,现行有效,地方政府规章及文件
'濮阳市人民政府关于加快发展食品产业的实施意见',濮阳市人民政府,2015-01-28,现行有效,地方政府规章及文件
'南阳市人民政府关于加快旅游产业转型升级的意见',南阳市人民政府,2014-12-31,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市新能源电池及电池材料产业区域集聚发展试点工作推进方案的通知',新乡市人民政府办公室,2014-11-29,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发第四届中国郑州产业转移系列对接活动驻马店市工作方案的通知',驻马店市人民政府办公室,2014-10-13,现行有效,地方政府规章及文件
'濮阳市人民政府办公室关于切实加强全市产业集聚区和专业园区消防安全管理工作的通知',濮阳市人民政府办公室,2014-10-11,现行有效,地方政府规章及文件
'驻马店市人民政府关于加快流通产业发展推进现代商品市场体系建设的实施意见',驻马店市人民政府,2014-10-09,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于进一步加强主导产业招商工作的通知',驻马店市人民政府办公室,2014-09-26,现行有效,地方政府规章及文件
'新乡市人民政府关于印发新乡市千百亿产业(集群)培育壮大三年行动计划的通知',新乡市人民政府,2014-09-12,现行有效,地方政府规章及文件
'新乡市人民政府关于加快旅游产业转型升级的实施意见',新乡市人民政府,2014-08-04,现行有效,地方政府规章及文件
'平顶山市人民政府关于印发平顶山市旅游产业发展三年行动计划(2014年7月－2017年6月)的通知',平顶山市人民政府,2014-07-29,现行有效,地方政府规章及文件
'濮阳市人民政府办公室关于转发《关于加快推进沿黄乡镇产业发展指导意见》的通知',濮阳市人民政府办公室,2014-07-11,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发加快新型物流产业发展行动方案(2014—2015年)的通知',鹤壁市人民政府办公室,2014-07-10,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发2014年驻马店市加快产业集聚区建设工作方案的通知',驻马店市人民政府办公室,2014-06-26,现行有效,地方政府规章及文件
'濮阳市人民政府办公室关于印发濮阳市加快推进生物基材料产业集聚发展实施意见的通知',濮阳市人民政府办公室,2014-06-24,现行有效,地方政府规章及文件
'平顶山市人民政府关于印发平顶山市加快节能环保产业发展工作方案的通知',平顶山市人民政府,2014-06-16,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于转发《2014年平顶山市加快产业集聚区建设专项工作方案》的通知',平顶山市人民政府办公室,2014-06-12,现行有效,地方政府规章及文件
'平顶山市人民政府关于批转《平顶山市重点文化产业园区和重点文化企业发展实施意见》的通知',平顶山市人民政府,2014-06-10,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市产业集聚区2014年实施“七大工程”的工作意见的通知',新乡市人民政府办公室,2014-06-03,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发2014年鹤壁市提升产业集聚区发展专项工作方案的通知',鹤壁市人民政府办公室,2014-04-30,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市承接深圳安防及LED产业集群转移推进工作方案的通知',新乡市人民政府办公室,2014-04-08,现行有效,地方政府规章及文件
'驻马店市人民政府关于加强产业集聚区安全生产工作的意见',驻马店市人民政府,2014-01-02,现行有效,地方政府规章及文件
'平顶山市人民政府关于加快旅游产业发展的意见',平顶山市人民政府,2013-12-28,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于加快发展体育产业的意见',平顶山市人民政府办公室,2013-12-28,现行有效,地方政府规章及文件
'商丘市人民政府关于印发商丘市产业集聚区发展(2013～2015)三年提升行动计划的通知',商丘市人民政府,2013-10-11,现行有效,地方政府规章及文件
'新乡市人民政府转发(2013)57号《河南省人民政府关于批转省监察厅河南省优化产业集聚区发展环境专项监督检查工作方案的通知》',新乡市人民政府,2013-09-13,现行有效,地方政府规章及文件
'商丘市人民政府关于批转《商丘市文化产业“双十”工程实施方案》的通知',商丘市人民政府,2013-08-19,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市加快推进手机及配套产业集群发展工作方案的通知',新乡市人民政府办公室,2013-08-13,现行有效,地方政府规章及文件
'关于印发漯河市支持发展高新技术产业的若干政策(暂行)的通知',漯河市人民政府办公室,2013-07-30,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于转发《河南省人民政府办公厅关于转发2013年河南省加快产业集聚区建设专项工作方案的通知》的通知',驻马店市人民政府办公室,2013-07-28,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发鹤壁市产业集聚区建设行动方案(2013—2015年)的通知',鹤壁市人民政府办公室,2013-07-25,现行有效,地方政府规章及文件
'平顶山市人民政府关于印发平顶山市扶持旅游产业发展暂行办法的通知',平顶山市人民政府,2013-07-17,现行有效,地方政府规章及文件
'驻马店市人民政府关于印发驻马店市2013—2015年战略性新兴产业发展规划纲要的通知',驻马店市人民政府,2013-07-16,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市2013年产业集聚区建设发展工作意见的通知',新乡市人民政府办公室,2013-07-01,现行有效,地方政府规章及文件
'驻马店市人民政府关于印发驻马店市2013年产业集聚区发展实施意见的通知',驻马店市人民政府,2013-06-30,现行有效,地方政府规章及文件
'新乡市人民政府关于印发新乡市专业化产业集群招商工作实施意见的通知',新乡市人民政府,2013-05-02,现行有效,地方政府规章及文件
'鹤壁市人民政府关于印发鹤壁市以智能手机为重点的电子信息产业集群发展2013年实施方案的通知',鹤壁市人民政府,2013-04-21,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发商丘市2013年承接产业转移专项工作方案的通知',商丘市人民政府办公室,2013-04-11,现行有效,地方政府规章及文件
'新乡市人民政府关于印发新乡市工业产业发展推进工作方案的通知',新乡市人民政府,2012-12-26,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市承接产业转移专项工作方案的通知',新乡市人民政府办公室,2012-11-22,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于印发漯河市促进旅游产业发展奖励暂行办法的通知',漯河市人民政府办公室,2012-09-17,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于印发漯河市蔬菜产业发展规划(2012-2016年)的通知',漯河市人民政府办公室,2012-09-03,现行有效,地方政府规章及文件
'新乡市人民政府关于大力承接产业转移的实施意见',新乡市人民政府,2011-07-03,现行有效,地方政府规章及文件
'南阳市人民政府办公室关于转发《南阳市组团参加豫沪产业转移合作系列对接活动工作方案》的通知',南阳市人民政府办公室,2015-06-16,现行有效,地方政府规章及文件
'方城县人民政府关于进一步加强产业集聚区建设管理服务的意见',南阳市方城县人民政府,2016-12-05,现行有效,地方政府规章及文件
'关于开展2016年度高新技术企业、高新区、特色产业基地统计调查工作的通知',河南省科学技术厅,2016-11-28,现行有效,地方政府规章及文件
'河南省发展和改革委员会、河南省水利厅、河南省国家税务局、河南省地方税务局关于转发《国家发展和改革委员会、水利部、国家税务总局关于推行合同节水管理促进节水服务产业发展的意见》的通知',河南省发展和改革委员会;河南省水利厅;河南省国家税务局;河南省地方税务局,2016-11-11,现行有效,地方政府规章及文件
'汝州市人民政府办公室关于印发2016中国(郑州)产业转移系列对接活动汝州市工作方案的通知',汝州市人民政府办公室,2016-10-27,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发第五届中国(郑州)产业转移系列对接活动郑州市工作方案的通知',郑州市人民政府办公厅,2016-10-17,已失效,地方政府规章及文件
'柘城县人民政府关于柘城县三樱椒产业发展的意见',商丘市柘城县人民政府,2016-10-14,现行有效,地方政府规章及文件
'光山县人民政府办公室关于印发光山县主导产业和战略性新兴产业发展专项引导资金管理办法的通知',信阳市光山县人民政府办公室,2016-10-10,现行有效,地方政府规章及文件
'邓州市人民政府关于加快发展体育产业促进体育消费的实施意见',邓州市人民政府,2016-10-08,现行有效,地方政府规章及文件
'柘城县人民政府办公室关于印发柘城县产业扶贫暂行办法的通知',商丘市柘城县人民政府办公室,2016-09-26,现行有效,地方政府规章及文件
'商城县人民政府办公室关于2016-2017年度茶产业发展的指导意见',信阳市商城县人民政府办公室,2016-09-26,现行有效,地方政府规章及文件
'光山县人民政府关于财政金融支持产业发展带动贫困群众增收的实施意见(试行)',信阳市光山县人民政府,2016-09-19,已失效,地方政府规章及文件
'封丘县人民政府办公室关于印发项目入驻封丘县产业集聚区条件及审批程序的通知',新乡市封丘县人民政府办公室,2016-08-31,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于加快地理信息产业发展的实施意见',河南省人民政府办公厅,2016-08-23,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省推进供给侧结构性改革促进产业转型升级专项行动方案(2016—2018年)的通知',河南省人民政府办公厅,2016-08-18,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发2016年郑州市产业集聚区建设专项工作方案的通知',郑州市人民政府办公厅,2016-07-29,现行有效,地方政府规章及文件
'关于加快推进农村产业融合试点示范工作的通知',河南省发展和改革委员会;河南省工业和信息化委员会;河南省财政厅;河南省国土资源厅;河南省农业厅;河南省商务厅;河南省旅游局,2016-07-26,现行有效,地方政府规章及文件
'新县人民政府关于加快发展体育产业促进体育消费的实施意见',信阳市新县人民政府,2016-07-15,现行有效,地方政府规章及文件
'商城县人民政府关于加快发展体育产业促进体育消费的实施意见',信阳市商城县人民政府,2016-07-13,现行有效,地方政府规章及文件
'魏都区人民政府关于三国文化产业园灞陵桥周边等三个棚户区改造项目拆迁安置补偿方案的批复',许昌市魏都区人民政府,2016-07-13,现行有效,地方政府规章及文件
'汝州市人民政府办公室转发《关于在全省移民村大力扶持乡村旅游产业发展的指导意见》的通知',汝州市人民政府办公室,2016-07-07,现行有效,地方政府规章及文件
'西平县人民政府关于加快发展体育产业促进体育消费的实施意见',驻马店市西平县人民政府,2016-06-17,现行有效,地方政府规章及文件
'潢川县人民政府关于加快发展体育产业促进体育消费的实施意见',信阳市潢川县人民政府,2016-06-14,现行有效,地方政府规章及文件
'河南省人民政府关于促进服务外包产业加快发展的实施意见',河南省人民政府,2016-06-06,现行有效,地方政府规章及文件
'确山县人民政府关于扶持电子商务产业园建设促进电子商务发展的办法',驻马店市确山县人民政府,2016-06-06,现行有效,地方政府规章及文件
'柘城县人民政府关于加快发展体育产业促进体育消费的实施意见',商丘市柘城县人民政府,2016-04-29,现行有效,地方政府规章及文件
'禹州市人民政府办公室关于印发禹州市2016年特色产业提升活动工作目标及措施的通知',禹州市人民政府办公室,2016-03-31,现行有效,地方政府规章及文件
'中共上蔡县委、上蔡县人民政府印发《上蔡县电子商务产业发展实施方案》的通知',中共驻马店市上蔡县委;驻马店市上蔡县人民政府,2016-03-28,现行有效,地方政府规章及文件
'新县人民政府办公室关于印发阿里巴巴新县产业带建设实施方案的通知',信阳市新县人民政府办公室,2016-02-24,现行有效,地方政府规章及文件
'社旗县人民政府办公室关于严控劣杂品种保持烟叶产业持续发展的通知',南阳市社旗县人民政府办公室,2016-01-26,现行有效,地方政府规章及文件
'郑州市人民政府关于发展通用航空产业的意见',郑州市人民政府,2015-12-31,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于促进创业投资和产业投资基金发展的通知',河南省人民政府办公厅,2015-12-28,现行有效,地方政府规章及文件
'河南省人民政府关于支持洛阳市建设机器人及智能装备产业基地的意见',河南省人民政府,2015-12-11,现行有效,地方政府规章及文件
'郑州市人民政府关于加快发展体育产业促进体育消费的实施意见',郑州市人民政府,2015-11-24,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于加快应急产业发展的意见',河南省人民政府办公厅,2015-11-11,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于加快郑州都市型林业产业发展促进绿色增长的意见',郑州市人民政府办公厅,2015-11-11,现行有效,地方政府规章及文件
'舞阳县人民政府办公室关于印发舞阳县产业集聚区生态公益性公墓建设实施方案的通知',漯河市舞阳县人民政府办公室,2015-10-30,现行有效,地方政府规章及文件
'镇平县人民政府关于建立镇平县产业集聚区发展联席会议制度的通知',南阳市镇平县人民政府,2015-10-19,现行有效,地方政府规章及文件
'关于印发产业集聚区地下水规范管理专项行动实施方案的通知',濮阳市台前县人民政府,2015-10-14,现行有效,地方政府规章及文件
'封丘县人民政府关于印发封丘县扶持特色农业主导产业发展实施办法(试行)的通知',新乡市封丘县人民政府,2015-10-09,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发养老健康产业发展示范园区(基地)规划建设推进计划的通知',河南省人民政府办公厅,2015-09-29,现行有效,地方政府规章及文件
'西平县人民政府关于印发西平县产业集聚区企业用工暂行办法的通知',驻马店市西平县人民政府,2015-08-31,现行有效,地方政府规章及文件
'汝州市人民政府办公室转发《河南省人民政府关于加快产业集聚区提质转型创新发展若干意见》的通知',汝州市人民政府办公室,2015-08-18,现行有效,地方政府规章及文件
'濮阳市华龙区人民政府办公室关于印发华龙区电子商务产业孵化园建设实施方案的通知',濮阳市华龙区人民政府办公室,2015-08-14,现行有效,地方政府规章及文件
'河南省财政厅、河南省发展和改革委员会关于发布《河南省“互联网+”产业发展基金管理机构选择办法》的公告',河南省财政厅;河南省发展和改革委员会,2015-08-14,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发2015年河南省加快产业集聚区建设专项工作方案的通知',河南省人民政府办公厅,2015-08-05,已失效,地方政府规章及文件
'河南省人民政府关于印发河南省文化创意和设计服务与相关产业融合发展规划(2015—2020年)的通知',河南省人民政府,2015-08-05,现行有效,地方政府规章及文件
'河南省人民政府关于加快发展体育产业促进体育消费的实施意见',河南省人民政府,2015-07-28,现行有效,地方政府规章及文件
'新县人民政府关于印发新县推进产业集聚区与乡镇行政区域管理套合工作方案的通知',信阳市新县人民政府,2015-07-22,现行有效,地方政府规章及文件
'河南省人民政府关于加快产业集聚区提质转型创新发展的若干意见',河南省人民政府,2015-07-20,现行有效,地方政府规章及文件
'关于印发2015年辉县市“三高五板块”产业招商集中活动实施方案的通知',辉县市人民政府办公室,2015-07-20,现行有效,地方政府规章及文件
'关于转发《国家发展改革委关于实施新兴产业重大工程包的通知》的通知',河南省发展和改革委员会,2015-07-06,现行有效,地方政府规章及文件
'新县人民政府办公室关于印发新县“全国经皮给药产业知名品牌创建示范区”工作方案的通知',信阳市新县人民政府办公室,2015-06-18,现行有效,地方政府规章及文件
'卫辉市人民政府关于印发卫辉市产业集聚区与乡镇行政区域管理套合工作实施方案的通知',卫辉市人民政府,2015-06-16,现行有效,地方政府规章及文件
'南阳市卧龙区人民政府关于印发卧龙区鼓励引进项目入驻南阳光电产业集聚区暂行规定的通知',南阳市卧龙区人民政府,2015-06-05,现行有效,地方政府规章及文件
'夏邑县人民政府办公室关于印发夏邑县关闭县城规划区内(产业集聚区)自备井工作实施方案的通知',商丘市夏邑县人民政府办公室,2015-06-02,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发河南省“百千万”亿级优势产业集群培育工程行动计划任务分解的通知',郑州市人民政府办公厅,2015-05-28,现行有效,地方政府规章及文件
'义马市人民政府办公室关于印发义马市煤化工产业集聚区管委会《2015年度发展责任目标分解方案》的通知',义马市人民政府办公室,2015-05-20,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省现代家居产业行动计划(2015—2017年)》的通知',河南省人民政府办公厅,2015-05-13,现行有效,地方政府规章及文件
'方城县人民政府办公室关于印发方城新能源产业集聚区标准化厂房服务协调管理暂行办法的通知',南阳市方城县人民政府办公室,2015-05-13,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《豫沪产业转移合作系列对接活动工作方案》的通知',河南省人民政府办公厅,2015-05-11,现行有效,地方政府规章及文件
'禹州市人民政府办公室关于转发《2015年禹州市产业集聚区提升发展工作方案》的通知',禹州市人民政府办公室,2015-05-11,现行有效,地方政府规章及文件
'西华县人民政府办公室关于印发西华县产业集聚区(河南西华经济技术开发区)培育食品产业集群实施方案的通知',周口市西华县人民政府办公室,2015-05-08,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发“百千万”亿级优势产业集群培育工程行动计划的通知',河南省人民政府办公厅,2015-04-27,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发2015年郑州市产业集聚区建设专项工作方案的通知',郑州市人民政府办公厅,2015-04-21,现行有效,地方政府规章及文件
'夏邑县人民政府关于印发夏邑县创建河南省知名品牌创建示范产业集聚区实施方案的通知',商丘市夏邑县人民政府,2015-04-09,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市电子商务产业园管理办法的通知',郑州市人民政府,2015-03-19,现行有效,地方政府规章及文件
'淅川县人民政府办公室关于印发淅川县有机产业发展规划(2015—2020)的通知',南阳市淅川县人民政府办公室,2015-03-18,现行有效,地方政府规章及文件
'禹州市人民政府办公室关于印发禹州市2015年产业提升活动工作目标及措施的通知',禹州市人民政府办公室,2015-03-11,现行有效,地方政府规章及文件
'新乡市牧野区人民政府办公室关于印发牧野区调整镇(办)电源产业园财政管理体制意见(试行)的通知',新乡市牧野区人民政府办公室,2015-03-09,现行有效,地方政府规章及文件
'郑州市林业局、郑州市财政局关于印发《2015年郑州市花卉苗木产业建设项目申报指南》的通知',郑州市林业局;郑州市财政局,2015-03-02,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发郑州市千亿级物联网产业集群发展实施方案(2015—2020年)的通知',郑州市人民政府办公厅,2015-02-16,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发郑州市地理信息产业发展规划(2015—2020年)的通知',郑州市人民政府办公厅,2015-02-16,现行有效,地方政府规章及文件
'禹州市人民政府关于加快发展服务业促进产业结构调整升级的意见',禹州市人民政府,2015-02-16,现行有效,地方政府规章及文件
'镇平县人民政府关于支持医药产业加快发展的实施意见',南阳市镇平县人民政府,2015-02-13,现行有效,地方政府规章及文件
'光山县人民政府办公室关于2015年茶产业发展工作的指导意见',信阳市光山县人民政府办公室,2015-02-12,现行有效,地方政府规章及文件
'河南省人民政府关于认定长葛市产业集聚区等10个产业集聚区为省级经济技术开发区的通知',河南省人民政府,2015-02-01,现行有效,地方政府规章及文件
'太康县人民政府办公室关于认真做好产业集聚区重点企业招工服务工作的通知',周口市太康县人民政府办公室,2015-01-28,现行有效,地方政府规章及文件
'新乡市牧野区人民政府关于印发牧野区工业主导产业集群培育方案的通知',新乡市牧野区人民政府,2015-01-27,现行有效,地方政府规章及文件
'新乡市牧野区人民政府办公室关于印发牧野区新能源电池及电池材料产业区域集聚发展试点工作推进方案的通知',新乡市牧野区人民政府办公室,2015-01-21,现行有效,地方政府规章及文件
'修武县人民政府办公室关于印发修武县2015年重点产业项目(第一批)目标责任分解和节点安排的通知',焦作市修武县人民政府办公室,2015,现行有效,地方政府规章及文件
'社旗县人民政府办公室关于印发社旗县实现2015年第三产业首季开门红工作方案的通知',南阳市社旗县人民政府办公室,2015,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市产业集聚区标准化厂房管理暂行办法的通知',邓州市人民政府办公室,2014-12-29,现行有效,地方政府规章及文件
'周口市人民政府办公室关于印发周口市打造六个市级产业集群实施方案的通知',周口市人民政府办公室,2014-12-26,现行有效,地方政府规章及文件
'禹州市人民政府关于加快禹州旅游产业发展的意见',禹州市人民政府,2014-12-20,现行有效,地方政府规章及文件
'邓州市人民政府关于印发邓州市产业集聚区工业项目招商引资政策的通知',邓州市人民政府,2014-12-13,现行有效,地方政府规章及文件
'邓州市人民政府关于印发邓州市产业集聚区工业项目入驻管理办法的通知',邓州市人民政府,2014-12-13,现行有效,地方政府规章及文件
'周口市人民政府关于加快纺织服饰产业发展的实施意见',周口市人民政府,2014-12-01,现行有效,地方政府规章及文件
'浚县人民政府办公室关于印发浚县食品产业发展三年行动方案(2015-2017年)的通知',鹤壁市浚县人民政府办公室,2014-11-28,现行有效,地方政府规章及文件
'浚县人民政府办公室关于印发浚县家居产业发展三年行动方案(2015—2017年)的通知',鹤壁市浚县人民政府办公室,2014-11-28,现行有效,地方政府规章及文件
'许昌县人民政府办公室关于印发许昌县产业集聚区消防安全专项治理方案的通知',许昌市许昌县人民政府办公室,2014-11-25,已失效,地方政府规章及文件
'河南省财政厅关于印发《河南省产业集聚区科技研发服务平台以奖代补资金管理办法》的通知',河南省财政厅,2014-11-17,现行有效,地方政府规章及文件
'关于印发创建河南省知名品牌示范产业集聚区实施方案的通知',辉县市人民政府,2014-11-15,现行有效,地方政府规章及文件
'关于印发辉县市产业集聚区创建知名品牌示范产业集聚区工作方案的通知',辉县市人民政府办公室,2014-11-15,现行有效,地方政府规章及文件
'栾川县人民政府办公室关于印发栾川县农村电子商务产业发展规划(2014—2016)的通知',洛阳市栾川县人民政府办公室,2014-11-07,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发促进高新技术产业开发区发展重点工作分工方案的通知',河南省人民政府办公厅,2014-10-31,现行有效,地方政府规章及文件
'新县人民政府办公室关于转发《新县产业集聚区卓湾区域房屋征收补偿安置方案》的通知',信阳市新县人民政府办公室,2014-10-14,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于支持发展奶牛产业的补充规定',邓州市人民政府办公室,2014-10-09,现行有效,地方政府规章及文件
'新县人民政府办公室关于转发《新县产业集聚区羚锐健康产业园区域房屋征收补偿安置方案》的通知',信阳市新县人民政府办公室,2014-10-09,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2014中国(郑州)产业转移系列对接活动河南省工作方案》的通知',河南省人民政府办公厅,2014-09-30,已失效,地方政府规章及文件
'河南省人民政府办公厅关于加快肉牛肉羊产业发展的实施意见',河南省人民政府办公厅,2014-09-30,现行有效,地方政府规章及文件
'新县人民政府办公室关于促进茶产业转型升级的意见',信阳市新县人民政府办公室,2014-09-27,现行有效,地方政府规章及文件
'河南省人民政府关于进一步促进全省产业集聚区持续健康发展财政扶持政策的通知',河南省人民政府,2014-09-12,现行有效,地方政府规章及文件
'信阳市浉河区人民政府办公室关于印发金牛物流产业集聚区创建省级物流示范园区实施方案的通知',信阳市浉河区人民政府办公室,2014-09-10,现行有效,地方政府规章及文件
'郏县人民政府关于印发《郏县专业产业园2014年工作意见》的通知',平顶山市郏县人民政府,2014-08-21,现行有效,地方政府规章及文件
'禹州市人民政府办公室关于转发《2014年禹州市产业集聚区提升发展工作方案》的通知',禹州市人民政府办公室,2014-08-15,现行有效,地方政府规章及文件
'河南省工业和信息化厅关于公布2014年度省新型工业化产业示范基地重点培育对象的通知',河南省工业和信息化厅,2014-08-14,现行有效,地方政府规章及文件
'河南省工业和信息化厅关于开展中小企业特色产业集群认定工作的通知',河南省工业和信息化厅,2014-08-12,现行有效,地方政府规章及文件
'洛阳市工业和信息化局关于转发《河南省工业和信息化厅关于开展中小企业特色产业集群认定工作的通知》的通知',洛阳市工业和信息化局,2014-08,现行有效,地方政府规章及文件
'信阳市浉河区人民政府办公室关于印发浉河区茶产业发展工作考评奖惩办法的通知',信阳市浉河区人民政府办公室,2014-07-28,现行有效,地方政府规章及文件
'周口市人民政府办公室关于转发《2014年周口市加快产业集聚区建设专项工作方案》的通知',周口市人民政府办公室,2014-07-22,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发加快流通产业发展推进现代商品市场体系建设重点工作部门分工方案的通知',河南省人民政府办公厅,2014-06-24,现行有效,地方政府规章及文件
'义马市人民政府办公室关于建立产业集聚区经济运行与数据分析联席会议制度的通知',义马市人民政府办公室,2014-06-11,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发郑州市2014年产业集聚区建设专项工作方案的通知',郑州市人民政府办公厅,2014-06-06,现行有效,地方政府规章及文件
'林州市人民政府关于创建省级生猪产业集群的意见',林州市人民政府,2014-06-05,现行有效,地方政府规章及文件
'关于印发河南省高新技术产业统计专项调查方案的通知',河南省科学技术厅,2014-06-03,现行有效,地方政府规章及文件
