'中共甘肃省委办公厅、甘肃省人民政府办公厅关于印发甘肃省“十一五”文化产业发展规划的通知',中共甘肃省委办公厅,2006-07-20,现行有效,团体规定
'甘肃省人民政府关于加快全省草产业发展的意见',甘肃省人民政府,2012-05-29,现行有效,地方政府规章及文件
'白银市人民政府办公室关于印发《白银市承接产业转移指导目录》的通知',白银市人民政府办公室,2012-05-09,现行有效,地方政府规章及文件
'金昌市人民政府关于印发金昌市承接产业转移实施方案的通知',金昌市人民政府,2012-02-29,现行有效,地方政府规章及文件
'关于建立发展培育多元支柱产业保障机制的意见的通知',兰州市人民政府办公厅,2011-12-22,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于加快推进天水装备制造业三大产业园建设的意见',甘肃省人民政府办公厅,2011-09-21,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省“十二五”陇药产业发展规划的通知',甘肃省人民政府办公厅,2011-08-03,已失效,地方政府规章及文件
'甘肃省财政厅、甘肃省农牧厅关于修改完善现代农业牛羊产业项目实施方案的紧急通知',甘肃省财政厅;甘肃省农牧厅,2011-07-26,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省林果产业发展扶持办法的通知',甘肃省人民政府办公厅,2011-07-13,现行有效,地方政府规章及文件
'关于转发科技部《生产力促进中心服务产业集群服务基层科技专项行动实施意见》的通知',甘肃省科学技术厅,2011-06-22,现行有效,地方政府规章及文件
'皋兰县人民政府办公室关于印发皋兰县2010年富硒白兰瓜特色产业发展项目实施方案的通知',兰州市皋兰县人民政府办公室,2010-11-22,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发《全市发展培育多元支柱产业工作方案》的通知',兰州市人民政府办公厅,2010-11-15,现行有效,地方政府规章及文件
'张掖市人民政府办公室转发人民银行张掖市中心支行关于《张掖市金融支持文化产业发展实施意见》的通知',张掖市人民政府办公室,2010-08-11,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发兰州铁路国际物流产业园建设领导小组第一次会议纪要的通知',兰州市人民政府办公厅,2010-07-16,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅转发省发展改革委等部门《关于加快推行合同能源管理促进节能服务产业发展实施意见》的通知',甘肃省人民政府办公厅,2010-06-30,已失效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省蔬菜产业发展规划（2009—2012年）的通知',甘肃省人民政府办公厅,2010-06-25,已失效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省苹果产业发展规划（2009—2012年）的通知',甘肃省人民政府办公厅,2010-06-25,已失效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省葡萄酒产业发展规划（2010——2020年）的通知',甘肃省人民政府办公厅,2010-04-06,现行有效,地方政府规章及文件
'甘肃省科技厅关于印发《关于依靠科技创新培育战略性新兴产业的意见》的通知',甘肃省科学技术厅,2010-03-15,现行有效,地方政府规章及文件
'关于印发庆阳市商品驴产业发展规划（2010-2014年）的通知',庆阳市人民政府,2010-02-06,现行有效,地方政府规章及文件
'兰州市人民政府办公厅转发《甘肃省人民政府办公厅批转省发改委关于全省产业发展体制机制创新意见的通知》的通知',兰州市人民政府办公厅,2009-09-14,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅批转省发改委《关于全省产业发展体制机制创新意见》的通知',甘肃省人民政府办公厅,2009-08-27,已失效,地方政府规章及文件
'张掖市人民政府办公室批转市旅游局关于《张掖市旅游产业实现三年翻番与质量提升计划实施意见》的通知',张掖市人民政府办公室,2009-08-26,现行有效,地方政府规章及文件
'金昌市人民政府办公室关于印发金昌市食用菌产业市场风险补偿基金试行办法的通知',金昌市人民政府办公室,2009-05-20,现行有效,地方政府规章及文件
'张掖市人民政府关于整合农业三项工程建设资金扶持特色产业发展的通知',张掖市人民政府,2009-05-12,现行有效,地方政府规章及文件
'白银市人民政府办公室印发《白银市人民政府关于鼓励支持“新天地文化商业街”大力发展文化产业的优惠政策》的通知',白银市人民政府办公室,2009-05-11,现行有效,地方政府规章及文件
'平凉市人民政府办公室转发《省政府办公厅关于印发甘肃省加快发展中药材产业扶持办法和甘肃省农业产业化龙头企业培育扶持办法通知》的通知',平凉市人民政府办公室,2009-04-03,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省加快发展中药材产业扶持办法和甘肃省农业产业化龙头企业培育扶持办法的通知',甘肃省人民政府办公厅,2009-03-06,已失效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省旅游产业实现三年翻番与质量提升计划指导意见的通知',甘肃省人民政府办公厅,2009-02-27,已失效,地方政府规章及文件
'兰州市人民政府印发关于促进房地产业持续健康发展的意见的通知',兰州市人民政府,2009-01-15,现行有效,地方政府规章及文件
'平凉市人民政府办公室转发甘肃省人民政府办公厅关于促进房地产业平稳健康发展若干政策措施的通知',平凉市人民政府办公室,2009-01-13,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅批转省发改委省旅游局关于开展县域旅游产业示范县试点工作实施意见的通知',甘肃省人民政府办公厅,2008-12-24,已失效,地方政府规章及文件
'甘肃省人民政府办公厅关于促进房地产业平稳健康发展若干政策措施的通知',甘肃省人民政府办公厅,2008-12-05,已失效,地方政府规章及文件
'庆阳市人民政府关于加快劳务产业开发的实施意见',庆阳市人民政府,2008-11-21,现行有效,地方政府规章及文件
'庆阳市人民政府关于加快全市瓜菜产业开发的实施意见',庆阳市人民政府,2008-11-19,现行有效,地方政府规章及文件
'庆阳市人民政府关于加快农村二三产业开发的实施意见',庆阳市人民政府,2008-11-19,现行有效,地方政府规章及文件
'中共酒泉市委、酒泉市人民政府关于切实维护奶农利益、促进奶产业健康发展的决定',中共酒泉市委;酒泉市人民政府,2008-09-24,现行有效,地方政府规章及文件
'平凉市人民政府办公室转发《甘肃省人民政府办公厅批转省农牧厅关于进一步加快马铃薯产业意见通知》的通知',平凉市人民政府办公室,2008-06-30,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于印发促进兰州百合产业发展的意见的通知',兰州市人民政府办公厅,2008-06-27,现行有效,地方政府规章及文件
'甘肃省农牧厅关于印发《甘肃省汶川地震灾后农业重建规划编制工作方案》《甘肃省地震灾后农业生产设施重建规划提纲》《甘肃省地震灾后农业生产力布局与产业调整规划提纲》的通知',甘肃省农牧厅,2008-06-26,现行有效,地方政府规章及文件
'临夏回族自治州人民政府关于发展壮大地毯产业的意见',临夏回族自治州人民政府,2008-06-17,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于印发《庆阳市文化产业发展规划》的通知',庆阳市人民政府办公室,2008-06-13,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅批转省农牧厅关于进一步加快发展马铃薯产业意见的通知',甘肃省人民政府办公厅,2008-06-10,已失效,地方政府规章及文件
'酒泉市人民政府办公室关于金融机构支持风电产业加快发展的指导意见',酒泉市人民政府办公室,2008-05-29,现行有效,地方政府规章及文件
'关于在全省开展农产品加工技术需求、流动资金贷款需求、特色优势产业重点支撑企业等调查的通知',甘肃省乡镇企业管理局,2008-03-26,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于设立高新技术产业开发区街道办事处的通知',兰州市人民政府办公厅,2008-03-10,现行有效,地方政府规章及文件
'中共白银市委办公室、白银市人民政府办公室关于分解落实“四大民心工程”、十二件惠民实事和八大支柱产业发展任务的通知',中共白银市委办公室;白银市人民政府办公室,2008-02-29,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于理顺兰州高新技术产业开发区民政和社会保障管理体制的通知',兰州市人民政府办公厅,2008-01-30,现行有效,地方政府规章及文件
'甘肃省旅游局发出进一步做好抗震救灾工作促进全省旅游产业发展的通知',甘肃省旅游局,2008,现行有效,地方政府规章及文件
'张掖市人民政府办公室关于印发张掖市马铃薯产业发展规划的通知',张掖市人民政府办公室,2007-12-18,现行有效,地方政府规章及文件
'中共白银市委办公室、白银市人民政府办公室关于四大民心工程、十件惠民实事和多元支柱产业进展情况的通报',中共白银市委办公室;白银市人民政府办公室,2007-11-01,现行有效,地方政府规章及文件
'中共白银市委办公室、白银市人民政府办公室关于四大民心工程、十件惠民实事进展和多元支柱产业发展情况的通报',中共白银市委办公室;白银市人民政府办公室,2007-07-16,现行有效,地方政府规章及文件
'兰州市人民政府办公厅关于对兰州高新技术产业开发区内建设项目及兰州九洲乳业有限公司有关环保问题进行整改的紧急通知',兰州市人民政府办公厅,2007-07-04,现行有效,地方政府规章及文件
'白银市人民政府办公室关于分解落实“四大民心工程”、十件惠民实事和多元支柱产业发展任务的通知',白银市人民政府办公室,2007-03-19,现行有效,地方政府规章及文件
'金昌市人民政府办公室批转市发改委等部门关于发展压缩天然气汽车产业实施意见的通知',金昌市人民政府办公室,2007-02-08,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于促进银行卡产业发展的意见',甘肃省人民政府办公厅,2007-01-09,已失效,地方政府规章及文件
'平凉市人民政府批转市建设局等部门关于调整住房供应结构稳定住房价格促进房地产业健康发展实施意见的通知',平凉市人民政府,2006-12-01,现行有效,地方政府规章及文件
'嘉峪关市人民政府办公室关于批转《嘉北工业园区不锈钢产业园拆迁方案》的通知',嘉峪关市人民政府办公室,2006-10-25,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅批转省林业厅关于加快林业产业发展意见的通知',甘肃省人民政府办公厅,2006-01-23,已失效,地方政府规章及文件
