'陕西省高新技术产业发展条例',陕西省人民代表大会常务委员会,2010-05-27,现行有效,地方性法规及文件
'关于铜川市董家河工业园区循环经济产业发展规划的批复',陕西省发展和改革委员会,2011-12-29,现行有效,地方政府规章及文件
'汉中市人民政府转发《省人民政府关于进一步鼓励软件产业和集成电路产业发展实施意见》的通知',汉中市人民政府,2011-12-20,现行有效,地方政府规章及文件
'延安市人民政府办公室关于切实做好文化产业统计监测工作的通知',延安市人民政府办公室,2011-12-08,现行有效,地方政府规章及文件
'铜川市人民政府办公室转发人行铜川市中心支行《关于金融支持铜川文化产业加快发展指导意见》的通知',铜川市人民政府办公室,2011-11-02,现行有效,地方政府规章及文件
'陕西省人民政府关于进一步鼓励软件产业和集成电路产业发展的实施意见',陕西省人民政府,2011-10-23,现行有效,地方政府规章及文件
'凤县人民政府关于加快核桃产业发展的意见',宝鸡市凤县人民政府,2011-10-20,现行有效,地方政府规章及文件
'宝鸡市陈仓区人民政府关于加快推进核桃产业发展的意见',宝鸡市陈仓区人民政府,2011-09-26,现行有效,地方政府规章及文件
'商洛市人民政府办公室转发人行商洛中心支行《关于金融支持旅游产业加快发展指导意见》的通知',商洛市人民政府办公室,2011-09-22,现行有效,地方政府规章及文件
'志丹县人民政府办公室关于进一步加强第三产业部门统计工作的意见',延安市志丹县人民政府办公室,2011-08-10,现行有效,地方政府规章及文件
'宜川县人民政府办公室关于做好第三产业部门统计工作的通知',延安市宜川县人民政府办公室,2011-08-09,现行有效,地方政府规章及文件
'子长县人民政府办公室转发延安市人民政府办公室《关于进一步加强第三产业部门统计工作的意见》的通知',延安市子长县人民政府办公室,2011-08-09,现行有效,地方政府规章及文件
'洛川县人民政府办公室关于进一步加强第三产业部门统计工作的意见',延安市洛川县人民政府办公室,2011-08-01,现行有效,地方政府规章及文件
'铜川市人民政府关于加快照明产业发展的决定',铜川市人民政府,2011-07-07,现行有效,地方政府规章及文件
'陕西省人民政府关于加快培育和发展战略性新兴产业的意见',陕西省人民政府,2011-07-03,现行有效,地方政府规章及文件
'延安市农业局关于指导重点镇和新型社区编制农业产业配置规划的安排意见',延安市农业局,2011-06-16,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市“十二五”新兴产业发展规划的通知',宝鸡市人民政府办公室,2011-06-15,现行有效,地方政府规章及文件
'咸阳市人民政府办公室关于贯彻市政府主要领导有关核桃产业发展重要批示精神的通知',咸阳市人民政府办公室,2011-06-05,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市“十二五”旅游产业发展规划的通知',宝鸡市人民政府办公室,2011-06-02,现行有效,地方政府规章及文件
'商洛市人民政府关于印发扶持发展尾矿资源综合利用产业意见的通知',商洛市人民政府,2011-04-13,现行有效,地方政府规章及文件
'关于印发《杨凌农业高新技术产业示范区党工委管委会工作规则(试行)》的通知',中共陕西省杨凌农业高新技术产业示范区工作委员会;杨凌农业高新技术产业示范区管理委员会,2011-03-14,现行有效,地方政府规章及文件
'富县人民政府关于2011年苹果产业开发的安排意见',延安市富县人民政府,2011-03-02,现行有效,地方政府规章及文件
'志丹县人民政府关于2011年苹果产业建设的安排意见',延安市志丹县人民政府,2011-03-02,现行有效,地方政府规章及文件
'咸阳市人民政府办公室关于印发《咸阳市环保产业发展规划》的通知',咸阳市人民政府办公室,2011-02-21,现行有效,地方政府规章及文件
'关于印发杨凌农业高新技术产业示范区“十二五”发展规划纲要的通知',中共陕西省杨凌农业高新技术产业示范区工作委员会;杨凌农业高新技术产业示范区管理委员会,2011-01-29,现行有效,地方政府规章及文件
'关于印发《2011年度陕西省高新技术产业发展专项资金项目申报指南》的通知',陕西省发展和改革委员会,2011-01-21,现行有效,地方政府规章及文件
'榆林市人民政府关于印发榆林高新技术产业发展规划的通知',榆林市人民政府,2011-01-20,现行有效,地方政府规章及文件
'榆林市人民政府关于推进科技服务高新技术产业园区发展的意见',榆林市人民政府,2011-01-20,现行有效,地方政府规章及文件
'榆林市人民政府关于加快榆林高新技术产业园区创建国家级高新区的若干意见',榆林市人民政府,2011-01-15,现行有效,地方政府规章及文件
'榆林市人民政府关于加快榆林高新技术产业园区建设的决定',榆林市人民政府,2011-01-15,现行有效,地方政府规章及文件
'陕西省林业厅关于认真学习贯彻《国家林业局进一步加快发展沙产业的意见》的通知',陕西省林业厅,2010-12-30,现行有效,地方政府规章及文件
'宝鸡市人民政府关于印发调整和完善宝鸡高新技术产业开发区财政体制方案的通知',宝鸡市人民政府,2010-12-30,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市产业发展规划的通知',宝鸡市人民政府办公室,2010-12-20,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室转发人行宝鸡市中心支行《关于金融支持宝鸡文化产业振兴和发展繁荣指导意见》的通知',宝鸡市人民政府办公室,2010-12-16,现行有效,地方政府规章及文件
'铜川市人民政府关于做大做强宜君核桃产业的决定',铜川市人民政府,2010-12-09,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加快发展体育产业的意见',陕西省人民政府办公厅,2010-11-29,现行有效,地方政府规章及文件
'安康市人民政府办公室转发市工信局关于《安康市创建省级以上新型工业化产业示范基地实施意见》的通知',安康市人民政府办公室,2010-10-20,现行有效,地方政府规章及文件
'关于转发省发改委、财政厅、农业厅、林业厅、水利厅关于印发《陕西省巩固退耕还林成果后续产业发展项目资金申报指南（暂行）》的通知的通知',汉中市发展和改革委员会;汉中市财政局;汉中市农业局;汉中市林业局;汉中市水利局,2010-09-30,现行有效,地方政府规章及文件
'咸阳市人民政府办公室转发人行咸阳市中心支行关于《咸阳市金融支持文化产业振兴发展指导意见》的通知',咸阳市人民政府办公室,2010-09-29,现行有效,地方政府规章及文件
'汉中市人民政府关于进一步加快烤烟产业发展的决定',汉中市人民政府,2010-09-28,现行有效,地方政府规章及文件
'宝鸡市人民政府关于促进产业集群加快发展的意见',宝鸡市人民政府,2010-08-30,现行有效,地方政府规章及文件
'安康市人民政府办公室关于认真做好蚕桑产业恢复重建工作的通知',安康市人民政府办公室,2010-08-10,现行有效,地方政府规章及文件
'关于转发陕西省广播电影电视局《关于转发省政府办公厅关于促进电影产业繁荣发展的实施意见的通知》的通知',延安市广播电视管理办公室,2010-07-28,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于进一步加快银行卡产业发展的通知',商洛市人民政府办公室,2010-07-26,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室转发市粮食局等部门《关于进一步深化国有粮食企业改革促进粮食产业健康发展意见》的通知',宝鸡市人民政府办公室,2010-07-19,现行有效,地方政府规章及文件
'汉中市人民政府关于汉中循环经济产业集聚区发展规划的实施意见',汉中市人民政府,2010-07-09,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于促进电影产业繁荣发展的实施意见',陕西省人民政府办公厅,2010-06-28,现行有效,地方政府规章及文件
'商洛市人民政府关于印发商洛市核桃产业2010-2015年发展规划的通知',商洛市人民政府,2010-06-17,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于扶持花椒核桃产业发展的通知',宝鸡市人民政府办公室,2010-05-13,现行有效,地方政府规章及文件
'咸阳市人民政府办公室关于进一步加强和完善全市文化产业统计监测工作的通知',咸阳市人民政府办公室,2010-05-05,现行有效,地方政府规章及文件
'商洛市人民政府关于印发陕南循环经济产业发展规划商洛市实施意见的通知',商洛市人民政府,2010-04-19,现行有效,地方政府规章及文件
'陕西省人民政府办公厅转发省发展改革委等部门《关于抑制部分行业产能过剩和重复建设引导产业健康发展的实施意见》的通知',陕西省人民政府办公厅,2010-04-06,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发宝鸡市促进产业集群加快发展调研方案的通知',宝鸡市人民政府办公室,2010-04-02,现行有效,地方政府规章及文件
'咸阳市人民政府关于加快全市杂果经济林产业发展的实施意见',咸阳市人民政府,2010-03-16,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于切实落实加快农业优势产业发展扶持政策的通知',宝鸡市人民政府办公室,2010-02-27,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于进一步加强和完善全省文化产业统计监测工作的通知',陕西省人民政府办公厅,2010-02-02,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于印发商洛市水泥产业结构调整指导意见的通知',商洛市人民政府办公室,2010-01-22,现行有效,地方政府规章及文件
'陕西省人民政府关于加快推进核桃等干杂果经济林产业发展的意见',陕西省人民政府,2010-01-07,现行有效,地方政府规章及文件
'陕西省人民政府关于促进服务外包产业发展的若干意见',陕西省人民政府,2009-12-29,现行有效,地方政府规章及文件
'陕西省人民政府关于印发《陕南循环经济产业发展规划(2009—2020年)》的通知',陕西省人民政府,2009-12-16,现行有效,地方政府规章及文件
'陕西省人民政府关于实施“双百工程”推进军民结合产业突破发展的意见',陕西省人民政府,2009-12-13,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于印发商洛市蚕桑产业发展规划的通知',商洛市人民政府办公室,2009-12-09,现行有效,地方政府规章及文件
'宝鸡市人民政府关于支持新能源产业发展的实施意见',宝鸡市人民政府,2009-12-09,现行有效,地方政府规章及文件
'关于印发《陕西省水泥产业结构调整指导意见》的通知',陕西省发展和改革委员会,2009-11-23,现行有效,地方政府规章及文件
'勉县人民政府关于进一步促进房地产业发展扶持居民安居置业的意见',汉中市勉县人民政府,2009-11-13,现行有效,地方政府规章及文件
'关于下达电子信息产业振兴和技术改造项目2009年第三批扩大内需中央预算内投资计划的通知',陕西省发展和改革委员会,2009-11-03,现行有效,地方政府规章及文件
'关于下达陕西省2008年巩固退耕还林成果后续产业项目建设任务和投资计划的通知',陕西省发展和改革委员会,2009-10-27,已失效,地方政府规章及文件
'关于下达2008年巩固退耕还林成果后续产业项目建设任务和投资计划的通知',陕西省发展和改革委员会,2009-10-27,已失效,地方政府规章及文件
'汉中市人民政府关于加快旅游产业发展的实施意见',汉中市人民政府,2009-10-27,现行有效,地方政府规章及文件
'陕西省人民政府办公厅印发《〈关于进一步加快旅游产业发展的决定〉任务分解一览表》的通知',陕西省人民政府办公厅,2009-10-19,现行有效,地方政府规章及文件
'汉中市人民政府办公室关于印发汉中市2009—2012年蔬菜产业发展规划的通知',汉中市人民政府办公室,2009-10-14,现行有效,地方政府规章及文件
'汉中市人民政府关于加快蔬菜产业发展的决定',汉中市人民政府,2009-10-09,现行有效,地方政府规章及文件
'安康市人民政府关于印发安康市产业振兴和结构调整实施意见的通知',安康市人民政府,2009-09-28,现行有效,地方政府规章及文件
'商洛市人民政府关于加快旅游产业发展的实施意见',商洛市人民政府,2009-09-22,现行有效,地方政府规章及文件
'关于下达陕西省油茶产业发展2009年第四批中央预算内投资计划的通知',陕西省发展和改革委员会;陕西省林业厅,2009-09-18,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于金融支持陕西文化产业做大做强的指导意见',陕西省人民政府办公厅,2009-09-03,现行有效,地方政府规章及文件
'关于下达2009年煤炭产业升级改造项目投资计划的通知',陕西省发展和改革委员会,2009-08-11,现行有效,地方政府规章及文件
'关于印发《陕西省发展改革委国家高技术产业发展项目管理办法》(暂行)的通知',陕西省发展和改革委员会,2009-08-05,已失效,地方政府规章及文件
'宝鸡市人民政府关于印发《宝鸡市产业振兴规划（2009—2011年）》的通知',宝鸡市人民政府,2009-07-29,现行有效,地方政府规章及文件
'关于下达2009年第二批产业技术研发资金高技术产业发展项目投资计划的通知',陕西省发展和改革委员会,2009-07-20,现行有效,地方政府规章及文件
'陕西省人民政府办公厅、环境保护部办公厅关于印发《陕西黄河中上游能源化工区重点产业发展战略环境评价工作实施方案》的通知',陕西省人民政府办公厅;环境保护部办公厅,2009-07-01,已失效,地方政府规章及文件
'陕西省人民政府关于进一步加快旅游产业发展的决定',陕西省人民政府,2009-06-26,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于印发2008—2012年中药产业发展规划的通知',商洛市人民政府办公室,2009-06-20,现行有效,地方政府规章及文件
'关于下达电子信息产业振兴和技术改造项目2009年新增中央预算内投资计划的通知',陕西省发展和改革委员会;陕西省工业和信息化厅,2009-05-25,现行有效,地方政府规章及文件
'汉中市人民政府办公室关于加快猕猴桃产业发展的意见',汉中市人民政府办公室,2009-05-11,现行有效,地方政府规章及文件
'勉县人民政府办公室关于印发旅游产业保增长促发展工作措施的通知',汉中市勉县人民政府办公室,2009-05-06,现行有效,地方政府规章及文件
'米脂县人民政府关于印发《米脂县现代特色农业“一园六区”、“六大产业”项目建设三年规划》的通知',榆林市米脂县人民政府,2009-04-15,现行有效,地方政府规章及文件
'陕西省人民政府关于印发《陕西省产业集群发展规划纲要(2009—2015年)》的通知',陕西省人民政府,2009-03-19,现行有效,地方政府规章及文件
'陕西省人民政府关于加快产业集群发展的指导意见',陕西省人民政府,2009-03-19,现行有效,地方政府规章及文件
'转发国家发展改革委办公厅关于组织实施彩电产业战略转型产业化专项有关问题的通知',陕西省发展和改革委员会,2009-03-10,现行有效,地方政府规章及文件
'勉县人民政府办公室关于2009年魔芋产业基地建设安排意见',汉中市勉县人民政府办公室,2009-03-05,现行有效,地方政府规章及文件
'陕西省人民政府办公厅转发省旅游局陕南旅游产业突破发展规划纲要的通知',陕西省人民政府办公厅,2009-02-02,现行有效,地方政府规章及文件
'关于制订我省重点产业振兴规划实施方案的通知',陕西省发展和改革委员会,2009-01-22,现行有效,地方政府规章及文件
'中共佛坪县委、佛坪县人民政府关于加快旅游产业突破发展的决定',中共汉中市佛坪县委;汉中市佛坪县人民政府,2009,现行有效,地方政府规章及文件
'勉县人民政府办公室关于印发勉县魔芋产业一县一业发展规划的通知',汉中市勉县人民政府办公室,2008-12-26,现行有效,地方政府规章及文件
'关于下达产业技术进步2008年新增中央预算内投资计划的通知',陕西省发展和改革委员会,2008-12-23,现行有效,地方政府规章及文件
'勉县人民政府关于加快魔芋产业发展的实施意见',汉中市勉县人民政府,2008-12-23,现行有效,地方政府规章及文件
'汉中市人民政府办公室关于转发《汉中市银行卡产业十一五发展规划》的通知',汉中市人民政府办公室,2008-12-06,现行有效,地方政府规章及文件
'陕西省人民政府关于渭南卤阳湖现代产业综合开发区总体规划的批复',陕西省人民政府,2008-12-03,现行有效,地方政府规章及文件
'铜川市人民政府办公室关于加强承接产业转移工作的实施意见',铜川市人民政府办公室,2008-12-01,现行有效,地方政府规章及文件
'陇县人民政府办公室关于印发《陇县土地和房地产业税收一体化管理实施意见》的通知',宝鸡市陇县人民政府办公室,2008-10-28,现行有效,地方政府规章及文件
'陕西省林业厅关于印发《陕西省林业厅林业产业省级龙头企业管理办法》(试行)的通知',陕西省林业厅,2008-09-19,现行有效,地方政府规章及文件
'关于印发商洛市核桃产业五年（2009-2013）发展实施方案的通知',商洛市人民政府办公室,2008-09-04,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加强承接产业转移工作的通知',陕西省人民政府办公厅,2008-08-06,现行有效,地方政府规章及文件
'关于印发2008年省产业发展引导资金申报指南的通知',陕西省发展和改革委员会,2008-08-06,现行有效,地方政府规章及文件
'宝鸡市人民政府关于印发宝鸡市土地、房地产业税收一体化管理实施意见的通知',宝鸡市人民政府,2008-06-30,现行有效,地方政府规章及文件
'陕西省人民政府办公厅转发省发展改革委关于鼓励数字电视产业发展意见的通知',陕西省人民政府办公厅,2008-06-10,现行有效,地方政府规章及文件
'汉中市人民政府办公室转发人民银行汉中市中心支行关于《汉中市银行卡产业发展实施意见》的通知',汉中市人民政府办公室,2008-05-12,现行有效,地方政府规章及文件
'关于进一步加强全省装备制造、轻工、纺织、烟草、贸易、电力、国防工业、信息产业等行业建设项目安全设施监督管理工作的通知',陕西省安全生产监督管理局,2008-04-22,现行有效,地方政府规章及文件
'关于印发《2008年产业政策工作要点》的通知',陕西省发展和改革委员会,2008-03-03,现行有效,地方政府规章及文件
'关于下达2008年提高自主创新能力及高技术产业发展项目中央预算内投资计划的通知',陕西省发展和改革委员会,2008-02-03,现行有效,地方政府规章及文件
'铜川市人民政府关于进一步加快发展陶瓷产业的决定',铜川市人民政府,2008-02-01,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于印发《加快发展我省文化产业若干政策措施》的通知',陕西省人民政府办公厅,2007-11-23,现行有效,地方政府规章及文件
'陕西省人事厅、陕西省信息产业厅关于印发《陕西省信息专业技术人才知识更新工程实施细则》的通知',陕西省人事厅;陕西省信息产业厅,2007-09-17,现行有效,地方政府规章及文件
'铜川市人民政府关于印发铜川市“十一五”奶牛产业发展实施意见的通知',铜川市人民政府,2007-09-04,现行有效,地方政府规章及文件
'中共陕西省委、陕西省人民政府关于进一步加快杨凌农业高新技术产业示范区发展的决定',中共陕西省委;陕西省人民政府,2007-07-25,现行有效,地方政府规章及文件
'陇县人民政府办公室转发县畜产局《关于扶持发展肉牛产业的实施意见》的通知',宝鸡市陇县人民政府办公室,2007-07-05,现行有效,地方政府规章及文件
'延安市人民政府关于加快林业产业发展的意见',延安市人民政府,2007-04-07,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于印发《陕西省“13115”科技创新工程重点科技产业园区管理办法》的通知',陕西省人民政府办公厅,2007-03-23,现行有效,地方政府规章及文件
'陕西省人民政府办公厅转发省文化厅等十厅局关于鼓励和推动我省动漫产业发展实施意见的通知',陕西省人民政府办公厅,2006-12-26,现行有效,地方政府规章及文件
'勉县人民政府关于印发2007年至2011年魔芋产业发展规划的通知',汉中市勉县人民政府,2006-10-26,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于加强旅游产业统计监测工作的通知',陕西省人民政府办公厅,2006-10-11,现行有效,地方政府规章及文件
'勉县人民政府关于今冬明春蚕桑产业发展工作的安排意见',汉中市勉县人民政府,2006-09-26,现行有效,地方政府规章及文件
'中共安康市委、安康市人民政府关于大力实施蚕桑产业突破发展的决定',中共安康市委;安康市人民政府,2006-07-20,现行有效,地方政府规章及文件
'咸阳市人民政府办公室转发市旅游局关于加快发展乡村旅游产业推进社会主义新农村建设的实施意见的通知',咸阳市人民政府办公室,2006-06-21,现行有效,地方政府规章及文件
'安康市人民政府关于加快畜牧产业发展的意见',安康市人民政府,2006-06-01,现行有效,地方政府规章及文件
'延安市人民政府办公室关于蔬菜产业发展有关问题的通知',延安市人民政府办公室,2006-05-22,现行有效,地方政府规章及文件
