'湖南省人民代表大会常务委员会关于批准《长沙高新技术产业开发区条例》的决定',湖南省人民代表大会常务委员会,2014-11-26,现行有效,地方性法规及文件
'资兴市人民政府关于进一步加强三文鱼产业规范化管理的意见',资兴市人民政府,2014-11-26,现行有效,地方政府规章及文件
'湖南省人民代表大会常务委员会关于批准《长沙高新技术产业开发区条例》的决定',湖南省人民代表大会常务委员会,2014-11-26,现行有效,地方政府规章及文件
'湖南省经济和信息化委员会关于印发《湖南省软件和信息服务产业园管理办法》的通知',湖南省经济和信息化委员会,2014-11-07,已失效,地方政府规章及文件
'汨罗市人民政府关于加强长沙经开区汨罗(弼时)产业园控建的通告',汨罗市人民政府,2014-11-05,现行有效,地方政府规章及文件
'澧县人民政府关于加快发展旅游产业的意见',常德市澧县人民政府,2014-10-30,现行有效,地方政府规章及文件
'湘潭昭山示范区管理委员会关于印发《湘潭昭山示范区促进电子商务产业发展的若干意见(试行)》的通知',湘潭昭山示范区管理委员会,2014-10-21,已失效,地方政府规章及文件
'湘潭昭山示范区管理委员会关于印发《湘潭昭山示范区加快文化产业发展的若干意见(试行)》的通知',湘潭昭山示范区管理委员会,2014-10-21,已失效,地方政府规章及文件
'关于印发《贯彻落实〈国务院关于加快发展生产性服务业促进产业结构调整升级的指导意见〉的实施方案》的通知',湖南省发展和改革委员会,2014-10-08,现行有效,地方政府规章及文件
'关于印发《湖南省新材料产业产品统计指导目录(2015)》的通知',湖南省统计局;湖南省发展和改革委员会;湖南省经济和信息化委员会,2014-09-17,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府关于印发《江华瑶族自治县加快油茶产业发展奖补办法》的通知',永州市江华瑶族自治县人民政府,2014-09-12,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于加快中药材产业发展的意见',湖南省人民政府办公厅,2014-09-12,现行有效,地方政府规章及文件
'湖南省林业厅印发《湖南省林业产业龙头企业认定管理办法》的通知',湖南省林业厅,2014-08-25,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于促进地理信息产业发展的实施意见',湖南省人民政府办公厅,2014-08-22,现行有效,地方政府规章及文件
'宜章县人民政府办公室关于印发《宜章县2014年烟花爆竹产业发展引导资金使用方案》的通知',郴州市宜章县人民政府办公室,2014-08-20,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《江华瑶族自治县金融支持、产业带动、精确扶贫的实施意见》的通知',永州市江华瑶族自治县人民政府办公室,2014-08-13,现行有效,地方政府规章及文件
'宜章县人民政府办公室关于印发《宜章县烟花爆竹产业发展引导资金管理暂行办法》的通知',郴州市宜章县人民政府办公室,2014-08-04,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省经济和信息化委员会关于印发《湖南省移动互联网产业发展专项资金管理暂行办法》的通知',湖南省财政厅;湖南省经济和信息化委员会,2014-08-04,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于加快发展体育产业的实施意见',湖南省人民政府办公厅,2014-07-31,现行有效,地方政府规章及文件
'湖南省商务厅关于印发《湖南省流通产业发展规划(2014－2020年)编制工作方案》的通知',湖南省商务厅,2014-07-25,现行有效,地方政府规章及文件
'湖南省人民政府关于加快文化创意产业发展的意见',湖南省人民政府,2014-07-17,现行有效,地方政府规章及文件
'关于进一步规范和加强湘西地区开发产业发展专项资金支持项目及资金管理的通知',湖南省发展和改革委员会;湖南省财政厅,2014-07-15,现行有效,地方政府规章及文件
'湖南省加速推进新型工业化工作领导小组办公室关于印发《湖南省战略性新兴产业重大关键共性技术发展导向目录(2015)》的通知',湖南省加速推进新型工业化工作领导小组办公室,2014-07-15,现行有效,地方政府规章及文件
'新田县人民政府关于印发《关于规范房地产业，加快推进新型城镇化进程的若干意见(试行)》的通知',永州市新田县人民政府,2014-05-27,已失效,地方政府规章及文件
'宜章县人民政府办公室关于《宜章县煤炭产业扶持引导资金管理使用暂行办法》的通知',郴州市宜章县人民政府办公室,2014-04-14,现行有效,地方政府规章及文件
'娄底市娄星区旅游产业发展领导小组办公室关于印发《娄星区文化旅游业发展年度工作考核办法》的通知',娄底市娄星区旅游产业发展领导小组办公室,2014-04-14,现行有效,地方政府规章及文件
'中共东田镇委员会、东田镇人民政府关于加快我镇制香产业发展的实施方案',中共永州市江华瑶族自治县东田镇委员会;永州市江华瑶族自治县东田镇人民政府,2014-04-03,现行有效,地方政府规章及文件
'江华瑶族自治县人力资源和社会保障局关于印发《江华瑶族自治县人力资源和社会保障局关于服务县高新技术矿冶循环经济产业园的方案》的通知',永州市江华瑶族自治县人力资源和社会保障局,2014-04-02,现行有效,地方政府规章及文件
'溆浦县人民政府关于加快溆浦鹅产业发展的意见',怀化市溆浦县人民政府,2014-04-02,现行有效,地方政府规章及文件
'常宁市人民政府办公室关于印发《水口山金铜综合回收产业升级改造项目安置小区征地拆迁补偿方案》的通知',常宁市人民政府办公室,2014-03-07,现行有效,地方政府规章及文件
'洞口县人民政府办公室关于印发《洞口县产业扶贫到户实施方案》的通知',邵阳市洞口县人民政府办公室,2014-03-02,现行有效,地方政府规章及文件
'宜章县人民政府办公室关于印发《宜章县2014年做优做强湘米产业工作方案》的通知',郴州市宜章县人民政府办公室,2014-03-02,现行有效,地方政府规章及文件
'中共湘阴县委办公室、湘阴县人民政府办公室关于印发《湘阴县强力推进十大产业扩张升级工程十大基础设施建设工程十大民生实事工程实施方案》的通知',中共岳阳市湘阴县委办公室;岳阳市湘阴县人民政府办公室,2014-02-20,现行有效,地方政府规章及文件
'中共湘阴县委办公室、湘阴县人民政府办公室关于印发《湘阴县2014年联手帮促重点企业重点工程及重点产业行动方案》的通知',中共岳阳市湘阴县委办公室;岳阳市湘阴县人民政府办公室,2014-02-20,现行有效,地方政府规章及文件
'湘潭市财政局、中共湘潭市委宣传部、湘潭市文广新局关于印发《湘潭市文化产业引导资金使用管理实施细则(试行)》的通知',湘潭市财政局;中共湘潭市委宣传部;湘潭市文化广电新闻出版局,2014-02-11,现行有效,地方政府规章及文件
'关于湖南临湘工业园滨江产业区建设控制范围的通告',临湘市人民政府,2014-01-13,现行有效,地方政府规章及文件
'常宁市人民政府办公室关于加快中药材产业发展的意见',常宁市人民政府办公室,2014,现行有效,地方政府规章及文件
'关于印发湘西地区开发第三轮产业园区基础设施项目名单的通知',湖南省湘西地区开发领导小组办公室,2013-12-03,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《江华瑶族自治县2013年度旅游产业发展考核方案》的通知',永州市江华瑶族自治县人民政府办公室,2013-11-29,现行有效,地方政府规章及文件
'中共嘉禾县委办公室、嘉禾县人民政府办公室关于印发《嘉禾县新型工业化产业引导资金管理办法》的通知',中共郴州市嘉禾县委办公室;郴州市嘉禾县人民政府办公室,2013-11-25,现行有效,地方政府规章及文件
'溆浦县人民政府关于加快竹产业发展的实施意见',怀化市溆浦县人民政府,2013-11-11,现行有效,地方政府规章及文件
'溆浦县人民政府关于加快黑木耳产业发展的意见',怀化市溆浦县人民政府,2013-11-11,现行有效,地方政府规章及文件
'隆回县人民政府关于实施粮油深加工及物流十亿产业工程的意见',邵阳市隆回县人民政府,2013-10-30,现行有效,地方政府规章及文件
'中共靖州苗族侗族自治县委、靖州苗族侗族自治县人民政府关于加快商贸物流产业发展的实施意见',中共怀化市靖州苗族侗族自治县委;怀化市靖州苗族侗族自治县人民政府,2013-10-18,现行有效,地方政府规章及文件
'汝城县人民政府关于加强“三私”产业税收征管的通告',郴州市汝城县人民政府,2013-10-16,现行有效,地方政府规章及文件
'汝城县人民政府关于进一步完善全县省级产业园区收费优惠政策的通知',郴州市汝城县人民政府,2013-09-28,现行有效,地方政府规章及文件
'湖南省商务厅关于印发《全省商务和开放型经济重大产业项目管理办法》的通知',湖南省商务厅,2013-09-26,现行有效,地方政府规章及文件
'中共嘉禾县委办公室、嘉禾县人民政府办公室关于修订《嘉禾县承接产业转移先行先试若干政策措施》的通知',中共郴州市嘉禾县委办公室;郴州市嘉禾县人民政府办公室,2013-09-12,现行有效,地方政府规章及文件
'资兴市人民政府办公室关于印发《资兴市推进农村土地承包经营权流转促进农业产业规模经营特色发展实施办法》的通知',资兴市人民政府办公室,2013-08-25,已失效,地方政府规章及文件
'双峰县人民政府关于加快流通产业发展的实施意见',娄底市双峰县人民政府,2013-08-03,现行有效,地方政府规章及文件
'常德市鼎城区人民政府办公室关于印发《鼎城区蔬菜产业发展扶持奖励办法》的通知',常德市鼎城区人民政府办公室,2013-08-01,现行有效,地方政府规章及文件
'资兴市人民政府关于全市产业园区生产性项目报建收费合并征收工作的实施意见',资兴市人民政府,2013-08-01,已失效,地方政府规章及文件
'宁远县人民政府办公室关于印发《宁远县2013年蔬菜产业发展实施意见》的通知',永州市宁远县人民政府办公室,2013-07-09,现行有效,地方政府规章及文件
'溆浦县人民政府办公室关于印发《溆浦县石材产业发展规划实施办法》的通知',怀化市溆浦县人民政府办公室,2013-06-09,现行有效,地方政府规章及文件
'关于进一步推进保靖黄金茶产业发展的意见',中共湘西土家族苗族自治州保靖县委;湘西土家族苗族自治州保靖县人民政府,2013-05-26,现行有效,地方政府规章及文件
'湘乡市人民政府关于加快流通产业发展的意见',湘乡市人民政府,2013-05-23,现行有效,地方政府规章及文件
'新晃侗族自治县人民政府关于印发《2013年新晃侗族自治县黄牛产业扶贫试点项目实施方案》的通知',怀化市新晃侗族自治县人民政府,2013-05-22,已失效,地方政府规章及文件
'双峰县人民政府办公室关于印发《双峰县加快推进房地产业发展四年(2012—2015年)行动计划》的通知',娄底市双峰县人民政府办公室,2013-05-08,现行有效,地方政府规章及文件
'涟源市人民政府办公室关于印发《涟源市加快推进流通产业发展四年(2012-2015)行动计划》的通知',涟源市人民政府办公室,2013-05-07,现行有效,地方政府规章及文件
'湖南省统计局、湖南省经济和信息化委员会关于做好全省新材料产业统计监测工作的通知',湖南省统计局;湖南省经济和信息化委员会,2013-05-07,现行有效,地方政府规章及文件
'祁阳县人民政府印发《关于加快推进承接产业转移工作的若干规定》的通知',永州市祁阳县人民政府,2013-04-26,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于印发《郴州市组团参加第十六届中国北京国际科技产业博览会工作方案》的通知',郴州市人民政府办公室,2013-04-19,已失效,地方政府规章及文件
'中共湘阴县委办公室、湘阴县人民政府办公室关于印发《湘阴县2013年联手帮促重点企业项目重点工程及重点产业行动方案》的通知',中共岳阳市湘阴县委办公室;岳阳市湘阴县人民政府办公室,2013-04-09,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于印发《郴州市承接产业转移示范区发展规划》的通知',郴州市人民政府办公室,2013-03-19,现行有效,地方政府规章及文件
'宜章县人民政府办公室关于印发《宜章县2013年做优做强湘米产业工作方案》的通知',郴州市宜章县人民政府办公室,2013-03-10,现行有效,地方政府规章及文件
'湖南省商务厅关于印发《2013年全省承接产业转移发展加工贸易工作要点》的通知',湖南省商务厅,2013-02-28,现行有效,地方政府规章及文件
'娄底市人民政府办公室转发市农机局《关于加快农业机械化新技术推广应用与农机机电产业发展意见》的通知',娄底市人民政府办公室,2013-02-25,现行有效,地方政府规章及文件
'资兴市人民政府关于加快竹产业发展的意见',资兴市人民政府,2013-02-16,现行有效,地方政府规章及文件
'资兴市人民政府关于加快油茶产业发展的意见',资兴市人民政府,2013-02-16,现行有效,地方政府规章及文件
'新晃侗族自治县人民政府关于加快新晃黄牛产业发展的决定',怀化市新晃侗族自治县人民政府,2013-02-08,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于加快高新技术产业园区和高新技术产业发展的实施意见',郴州市人民政府办公室,2013-02-02,现行有效,地方政府规章及文件
'湖南省政府办公厅关于加强产业园统计工作的通知',湖南省人民政府办公厅,2012-11-19,现行有效,地方政府规章及文件
'关于调整湖南省电子信息产业园申报认定程序的通知',湖南省经济和信息化委员会,2012-10-18,现行有效,地方政府规章及文件
'潼南县人民政府关于印发潼南县工业“4+1”产业集群发展规划的通知',重庆市潼南县人民政府,2012-10-17,现行有效,地方政府规章及文件
'关于进一步加强皮具产业人才培训工作的实施意见',邵阳市邵东县人民政府办公室,2012-10-17,现行有效,地方政府规章及文件
'常德市鼎城区人民政府关于加快油茶产业发展的意见',常德市鼎城区人民政府,2012-10-09,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《长株潭国家高新技术产业开发区企业股权和分红激励试点实施办法》的通知',湖南省人民政府,2012-09-15,已失效,地方政府规章及文件
'湖南省财政厅、湖南省经济和信息化委员会关于印发《湖南省信息产业发展专项资金管理办法》的通知',湖南省财政厅;湖南省经济和信息化委员会,2012-09-10,现行有效,地方政府规章及文件
'关于印发《湖南省信息产业发展专项资金管理办法》的通知',湖南省财政厅;湖南省经济和信息化委员会,2012-09-10,现行有效,地方政府规章及文件
'宁远县人民政府关于加快肉牛产业发展的意见',永州市宁远县人民政府,2012-09-09,现行有效,地方政府规章及文件
'郴州市人民政府关于进一步优化产业园区发展环境的意见',郴州市人民政府,2012-09-07,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省稀土产业“十二五”发展规划》的通知',湖南省人民政府,2012-08-10,已失效,地方政府规章及文件
'湘潭县人民政府办公室关于印发湘潭县推进先进矿山装备制造产业集群发展实施方案的通知',湘潭市湘潭县人民政府办公室,2012-08-09,现行有效,地方政府规章及文件
'中共衡山县委办公室、衡山县人民政府办公室关于进一步落实《湖南衡山经济开发区承接产业转移融资建设标准化厂房及其配套设施的实施意见》的通知',中共衡阳市衡山县委办公室;衡阳市衡山县人民政府办公室,2012-07-26,现行有效,地方政府规章及文件
'印发《关于工商行政管理系统服务文化体制改革和文化产业发展的实施意见》的通知',湖南省工商行政管理局,2012-07-25,现行有效,地方政府规章及文件
'石门县人民政府关于促进矿产资源性产业科学健康发展的意见',常德市石门县人民政府,2012-07-25,现行有效,地方政府规章及文件
'湖南省地方税务局关于湘南承接产业转移示范区建设若干税收优惠政策的公告',湖南省地方税务局,2012-06-29,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省“十二五”高新技术产业发展和自主创新能力建设规划》的通知',湖南省人民政府办公厅,2012-06-28,已失效,地方政府规章及文件
'宜章县人民政府关于进一步规范烟花爆竹产业健康发展的意见',郴州市宜章县人民政府,2012-06-25,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省国防科技工业局关于印发《湖南省军民融合产业发展专项资金管理办法》的通知',湖南省财政厅;湖南省国防科技工业局,2012-06-08,现行有效,地方政府规章及文件
'永州市人民政府关于加快肉牛产业发展的意见',永州市人民政府,2012-06-08,现行有效,地方政府规章及文件
'湘阴县人民政府关于征收漕溪港物流产业园项目建设国有土地范围内房屋的决定',岳阳市湘阴县人民政府,2012-06-08,已失效,地方政府规章及文件
'中共湖南省委、湖南省人民政府关于推进湘南承接产业转移示范区建设的若干意见',中共湖南省委;湖南省人民政府,2012-06-08,现行有效,地方政府规章及文件
'常宁市人民政府关于印发《常宁市涉重金属产业结构优化调整项目管理办法》的通知',常宁市人民政府,2012-05-18,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省湘南承接产业转移示范区规划》的通知',湖南省人民政府办公厅,2012-05-11,现行有效,地方政府规章及文件
'永州市人民政府关于加快承接产业转移示范区建设十项措施',永州市人民政府,2012-05-09,现行有效,地方政府规章及文件
'郴州市人民政府关于加快承接产业转移保障园区企业用工的通知',郴州市人民政府,2012-05-07,现行有效,地方政府规章及文件
'常德市人民政府办公室关于促进石膏产业健康有序发展的通知',常德市人民政府办公室,2012-05-02,现行有效,地方政府规章及文件
'关于印发《环长株潭城市群“两型”产业振兴工程实施方案》的通知',湖南省经济和信息化委员会,2012-05,现行有效,地方政府规章及文件
'中共湘潭市委、湘潭市人民政府关于印发《湘潭市进一步支持文化事业和文化产业发展的若干政策措施》的通知',中共湘潭市委;湘潭市人民政府,2012-04-27,现行有效,地方政府规章及文件
'关于开展全县文化产业统计工作的通知',衡阳市祁东县人民政府办公室,2012-04-18,现行有效,地方政府规章及文件
'衡南县人民政府关于印发《衡南县文化产业发展规划纲要》的通知',衡阳市衡南县人民政府,2012-04-17,现行有效,地方政府规章及文件
'湖南省发展开放型经济领导小组办公室关于印发《湖南省承接产业转移示范园区特色园区动态管理认定办法》的通知',湖南省发展开放型经济领导小组办公室,2012-04-05,现行有效,地方政府规章及文件
'涟源市人民政府办公室关于印发涟源市蔬菜产业发展专项资金管理使用办法的通知',涟源市人民政府办公室,2012-03-31,现行有效,地方政府规章及文件
'郴州市人民政府办公室转发市人民银行《关于贯彻落实稳健货币政策加大金融支持郴州湘南承接产业转移示范区建设指导意见》的通知',郴州市人民政府办公室,2012-03-30,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于印发湘潭先进矿山装备制造产业集群建设实施方案(2011—2015年)的通知',湘潭市人民政府办公室,2012-03-20,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于修改《江华瑶族自治县2012年油茶产业发展实施方案》有关条款的通知',永州市江华瑶族自治县人民政府办公室,2012-03-13,现行有效,地方政府规章及文件
'中共常德市委、常德市人民政府关于加快培育发展战略性新兴产业的意见',中共常德市委;常德市人民政府,2012-03-06,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《江华瑶族自治县2012年油茶产业发展实施方案》的通知',永州市江华瑶族自治县人民政府办公室,2012-02-29,现行有效,地方政府规章及文件
'中共湘阴县委办公室、湘阴县人民政府办公室关于印发《湘阴县2012年联手帮促重点企业项目重点工程及重点产业行动方案》的通知',中共岳阳市湘阴县委办公室;岳阳市湘阴县人民政府办公室,2012-02-21,已失效,地方政府规章及文件
'中共郴州市委、郴州市人民政府关于进一步加快承接产业转移发展开放型经济的实施意见',中共郴州市委;郴州市人民政府,2012-02-14,现行有效,地方政府规章及文件
'中共洪江市委、洪江市人民政府关于加快发展旅游产业的决定',中共洪江市委;洪江市人民政府,2012-02-09,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于印发郴州国家高技术服务产业基地建设“十二五”规划纲要的通知',郴州市人民政府办公室,2012-02-07,现行有效,地方政府规章及文件
'中共郴州市委办公室、郴州市人民政府办公室关于印发《全省扩大开放暨湘南承接产业转移示范区建设推进大会郴州筹备工作方案》的通知',中共郴州市委办公室;郴州市人民政府办公室,2012-02-06,现行有效,地方政府规章及文件
'花垣县人民政府关于加快湘西黄牛产业发展的意见',湘西土家族苗族自治州花垣县人民政府,2012-01-30,现行有效,地方政府规章及文件
'常德市人民政府关于实施粮油深加工及物流产业工程的意见',常德市人民政府,2012,现行有效,地方政府规章及文件
'中共郴州市委、郴州市人民政府关于推进产业大转型三年行动计划的决定',中共郴州市委;郴州市人民政府,2012,现行有效,地方政府规章及文件
'中共郴州市委、郴州市人民政府关于加快培育和发展战略性新兴产业的决定',中共郴州市委;郴州市人民政府,2012,现行有效,地方政府规章及文件
'永州市人民政府关于推进湘南承接产业转移示范区建设大力发展开放型经济的实施意见',永州市人民政府,2012,现行有效,地方政府规章及文件
'2012年为我省战略性新兴产业企业提供人才和智力支撑服务活动方案',湖南省人力资源和社会保障厅,2012,已失效,地方政府规章及文件
'湖南省人民政府办公厅关于加快竹产业发展的意见',湖南省人民政府办公厅,2011-12-30,现行有效,地方政府规章及文件
'关于印发湖南省战略性新兴产业科技攻关和重大科技成果转化项目资金管理实施细则的通知',湖南省科学技术厅;湖南省经济和信息化委员会;湖南省财政厅,2011-12-26,现行有效,地方政府规章及文件
'益阳市人民政府关于印发《益阳市实施粮油深加工及物流千亿产业工程行动计划》的通知',益阳市人民政府,2011-12-23,现行有效,地方政府规章及文件
'郴州市人民政府关于印发郴州市加快培育和发展战略性新兴产业“十二五”总体规划纲要及有关专项规划的通知',郴州市人民政府,2011-12-15,现行有效,地方政府规章及文件
'关于贯彻《湖南省人民政府办公厅关于促进湘酒产业健康发展的意见》的通知',邵阳市邵东县人民政府办公室,2011-12-09,现行有效,地方政府规章及文件
'湖南省人民政府关于印发进一步加快发展软件产业和集成电路产业实施意见的通知',湖南省人民政府,2011-11-29,现行有效,地方政府规章及文件
'株洲市人民政府关于实施粮油百亿产业等三大工程的意见',株洲市人民政府,2011-11-24,现行有效,地方政府规章及文件
'湘潭高新技术产业开发区管理委员会关于对《湘潭高新区安置房分配方案》的补充通知',湘潭高新技术产业开发区管理委员会,2011-11-21,现行有效,地方政府规章及文件
'湘潭高新技术产业开发区管理委员会关于印发《湘潭高新区安置房分配方案》的通知',湘潭高新技术产业开发区管理委员会,2011-11-21,现行有效,地方政府规章及文件
'湘潭高新技术产业开发区管理委员会关于明确高新区范围内各村征地补偿标准的通知',湘潭高新技术产业开发区管理委员会,2011-11-21,现行有效,地方政府规章及文件
'关于进一步明确办理工业产品生产许可证产业政策审查文件有关问题的通知',湖南省经济和信息化委员会,2011-11-15,现行有效,地方政府规章及文件
'常德市人民政府关于加快蔬菜产业发展推进“菜篮子”工程建设的意见',常德市人民政府,2011-10-29,现行有效,地方政府规章及文件
'辰溪县人民政府办公室关于印发《辰溪陶瓷产业基地招商引资优惠政策》的通知',怀化市辰溪县人民政府办公室,2011-10-26,现行有效,地方政府规章及文件
'道县人民政府关于加快蔬菜产业发展保障市场供应的意见',永州市道县人民政府,2011-10-19,现行有效,地方政府规章及文件
'郴州市人民政府关于实施粮油深加工及物流百亿产业工程的意见',郴州市人民政府,2011-10-08,现行有效,地方政府规章及文件
'涟源市人民政府关于加快油茶产业发展的实施意见',涟源市人民政府,2011-09-27,现行有效,地方政府规章及文件
'湖南省人民政府关于促进有色金属产业可持续发展的意见',湖南省人民政府,2011-09-25,现行有效,地方政府规章及文件
'关于印发《湖南省加快培育发展战略性新兴产业奖励细则》的通知',湖南省经济和信息化委员会,2011-09-22,现行有效,地方政府规章及文件
'湖南省商务厅转发商务部《关于发布<对外投资国别产业指引(2011版)>的通知》',湖南省商务厅,2011-09-19,现行有效,地方政府规章及文件
'洞口县人民政府办公室关于印发洞口县“菜篮子”工程产业发展实施意见的通知',邵阳市洞口县人民政府办公室,2011-09-17,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省培育发展战略性新兴产业专项引导资金管理办法》的通知',湖南省人民政府办公厅,2011-09-06,已失效,地方政府规章及文件
'中共湘潭县委、湘潭县人民政府关于加快旅游产业发展打造旅游强县的决定',中共湘潭市湘潭县委;湘潭市湘潭县人民政府,2011-09-06,现行有效,地方政府规章及文件
'湖南省人民政府办公厅转发省财政厅、省科技厅《关于加强湖南省高新技术产业发展引导资金管理意见》的通知',湖南省人民政府办公厅,2011-08-30,已失效,地方政府规章及文件
'郴州市人民政府办公室关于印发郴州国家高技术服务产业基地建设工作方案的通知',郴州市人民政府办公室,2011-08-29,现行有效,地方政府规章及文件
'宁南县人民政府关于2011年冬季马铃薯产业发展的实施意见',凉山彝族自治州宁南县人民政府,2011-08-29,现行有效,地方政府规章及文件
'湖南省人民政府关于加快产业园区体系建设的意见',湖南省人民政府,2011-08-25,现行有效,地方政府规章及文件
'永州市人民政府关于推进粮油深加工及物流百亿产业工程的实施意见',永州市人民政府,2011-08-12,现行有效,地方政府规章及文件
'常德市人民政府关于进一步促进承接沿海产业转移发展加工贸易的通知',常德市人民政府,2011-08-10,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府关于实施粮油深加工及物流产业工程的意见',永州市江华瑶族自治县人民政府,2011-08-09,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府办公室关于印发《江华瑶族自治县实施粮油产业工程工作方案》的通知',永州市江华瑶族自治县人民政府办公室,2011-08-08,现行有效,地方政府规章及文件
'宜章县人民政府关于加快蔬菜产业发展的意见',郴州市宜章县人民政府,2011-07-28,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于印发郴州市省级以上产业园区统计工作管理暂行规定的通知',郴州市人民政府办公室,2011-07-27,现行有效,地方政府规章及文件
'关于印发《湖南省战略性新兴产业考核统计数据采集实施办法(试行)》的通知',湖南省加速推进新型工业化工作领导小组办公室,2011-07-25,现行有效,地方政府规章及文件
'双峰县人民政府关于促进农机机电产业整合和又好又快发展的意见',娄底市双峰县人民政府,2011-07-07,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省经济和信息化委员会关于印发《湖南省鼓励汽车工程机械产业扩大省内配套奖励政策实施办法》的通知',湖南省财政厅;湖南省经济和信息化委员会,2011-07-01,现行有效,地方政府规章及文件
'关于印发《衡东县旅游产业发展奖励暂行办法》的通知',衡阳市衡东县人民政府办公室,2011-06-22,现行有效,地方政府规章及文件
'湘潭市人民政府关于印发湘潭市战略性新兴产业科技支撑行动方案（2011-2015）的通知',湘潭市人民政府,2011-06-21,现行有效,地方政府规章及文件
'中共益阳市委、益阳市人民政府关于培育和加快服务外包产业发展的意见',中共益阳市委;益阳市人民政府,2011-06-21,现行有效,地方政府规章及文件
'花垣县人民政府关于加快蔬菜产业发展保障市场供应的意见',湘西土家族苗族自治州花垣县人民政府,2011-06-21,现行有效,地方政府规章及文件
'常德市鼎城区人民政府办公室关于印发《鼎城区现代农业产业园区建设奖励实施办法》的通知',常德市鼎城区人民政府办公室,2011-06-16,现行有效,地方政府规章及文件
'娄底市地方税务局关于印发《娄底市房地产业地方税收项目管理实施办法》的通知',娄底市地方税务局,2011-06-14,现行有效,地方政府规章及文件
'关于印发《2011年全省电子信息通信产业工作要点》的通知',湖南省经济和信息化委员会,2011-06-10,现行有效,地方政府规章及文件
'湖南省财政厅关于印发《湖南省财政支持产业发展专项资金股权投资管理办法》的通知',湖南省财政厅,2011-05-31,现行有效,地方政府规章及文件
'永顺县人民政府关于印发永顺县万坪凯迪低碳循环经济产业园建设征地拆迁补偿安置方案的通知',湘西土家族苗族自治州永顺县人民政府,2011-05-19,现行有效,地方政府规章及文件
'湖南省商务厅关于贯彻《湖南省人民政府办公厅关于促进湘酒产业健康发展的意见》的通知',湖南省商务厅,2011-05-16,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于加快工艺美术产业发展的指导意见',湖南省人民政府办公厅,2011-05-12,已失效,地方政府规章及文件
'湖南省人民政府办公厅关于促进湘酒产业健康发展的意见',湖南省人民政府办公厅,2011-05-06,现行有效,地方政府规章及文件
'宁远县地方税务局关于明确私人交易房地产业单位面积最低销售及建筑价格计税标准的通知',永州市宁远县地方税务局,2011-05-06,现行有效,地方政府规章及文件
'关于印发2011年湖南郴州（深圳）现代服务业承接产业转移招商推介会工作方案的通知',郴州市人民政府办公室,2011-04-28,现行有效,地方政府规章及文件
'关于印发郴州市本级产业引导资金管理办法的通知',郴州市人民政府办公室,2011-04-28,现行有效,地方政府规章及文件
'沅江市油料生产和产业大县建设项目资金管理和使用办法',沅江市人民政府办公室,2011-04-22,现行有效,地方政府规章及文件
'安岳县人民政府办公室关于印发《金融支持柠檬产业发展实施方案》的通知',资阳市安岳县人民政府办公室,2011-04-21,现行有效,地方政府规章及文件
'湘乡市人民政府关于加快蔬菜产业发展保障市场供应的实施意见',湘乡市人民政府,2011-04-20,现行有效,地方政府规章及文件
'涟源市人民政府关于加快蔬菜产业发展保障市场供应的意见',涟源市人民政府,2011-04-20,现行有效,地方政府规章及文件
'关于实施粮油深加工及物流十亿产业工程的意见',衡阳市衡南县人民政府,2011-04-18,现行有效,地方政府规章及文件
'常德市鼎城区人民政府办公室转发常德市人民政府办公室《关于进一步加强房地产市场监管促进房地产业平稳健康发展的意见》的通知',常德市鼎城区人民政府办公室,2011-04-18,现行有效,地方政府规章及文件
'关于印发祁东县2011—2015年枣产业发展扶持奖励办法的通知',衡阳市祁东县人民政府办公室,2011-04-15,现行有效,地方政府规章及文件
'江华瑶族自治县人民政府关于加快蔬菜产业发展保障市场供应的意见',永州市江华瑶族自治县人民政府,2011-04-14,现行有效,地方政府规章及文件
'湖南省经济和信息化委员会关于印发《创建湖南省新型工业化产业示范基地管理办法》的通知',湖南省经济和信息化委员会,2011-04-13,现行有效,地方政府规章及文件
