'长沙高新技术产业开发区条例',长沙市人民代表大会常务委员会,2014-12-01,现行有效,地方性法规及文件
'省发展改革委关于印发《湖北省促进产业结构优化升级“三个一百工程”实施方案》的通知',湖北省发展和改革委员会,2011-04-14,现行有效,地方政府规章及文件
'市人民政府办公室关于印发鄂州市双低油菜产业发展实施方案（2011-2015）的通知',鄂州市人民政府办公室,2011-04-13,现行有效,地方政府规章及文件
'中共神农架林区委员会、神农架林区人民政府关于推进神农架旅游产业裂变式发展的意见',中共神农架林区委;神农架林区人民政府,2011-04-13,已失效,地方政府规章及文件
'关于贯彻落实《城镇燃气管理条例》和《省人民政府办公厅转发省发展改革委员会关于促进全省天然气产业持续快速发展意见的通知》的通知',湖北省住房和城乡建设厅,2011-04-06,现行有效,地方政府规章及文件
'神农架林区人民政府关于加快推进烟叶产业发展的意见',神农架林区人民政府,2011-04-06,现行有效,地方政府规章及文件
'市人民政府办公厅关于支持再生资源产业发展的通知',武汉市人民政府办公厅,2011-04-01,现行有效,地方政府规章及文件
'市人民政府办公室关于印发市直部门对口衔接争取国务院支持中西部地区承接产业转移政策工作分工方案的通知',黄石市人民政府办公室,2011-03-22,现行有效,地方政府规章及文件
'市人民政府办公室关于加快以油茶核桃为主的木本油料产业发展的通知',宜昌市人民政府办公室,2011-03-11,现行有效,地方政府规章及文件
'市人民政府办公室转发市农业委员会关于《襄阳市蔬菜产业“十二五”发展规划》的通知',襄阳市人民政府办公室,2011-02-23,现行有效,地方政府规章及文件
'市人民政府关于印发《潜江市鼓励发展第三产业暂行办法》的通知',潜江市人民政府,2011-01-30,现行有效,地方政府规章及文件
'关于转发科技部《生产力促进中心服务产业集群、服务基层科技专项行动的实施意见》的通知',湖北省科学技术厅,2011,现行有效,地方政府规章及文件
'市人民政府办公室转发襄阳银监分局《关于襄阳银行业支持汽车产业加快结构调整推动汽车支柱产业进一步做大做强的指导意见》的通知',襄阳市人民政府办公室,2010-12-27,现行有效,地方政府规章及文件
'省发展改革委转发国家发展改革委关于《加强区域产业创新基础能力建设工作指导意见》的通知',湖北省发展和改革委员会,2010-12-21,现行有效,地方政府规章及文件
'中共襄阳市委、襄阳市人民政府关于全力推进襄阳高新技术产业开发区创新型特色园区建设的意见',中共襄阳市委;襄阳市人民政府,2010-12-20,现行有效,地方政府规章及文件
'市人民政府关于禁止在黄冈至鄂州高速公路沿线控制区域和黄冈化工产业园区内违法建设的通告',黄冈市人民政府,2010-11-11,现行有效,地方政府规章及文件
'湖北省人民政府办公厅关于印发湖北省双低油菜产业发展实施方案（2011-2015）的通知',湖北省人民政府办公厅,2010-10-12,现行有效,地方政府规章及文件
'荆州市人民政府办公室关于印发荆州市参加湖北文化产业招商博览会筹备工作方案的通知',荆州市人民政府办公室,2010-09-20,已失效,地方政府规章及文件
'市人民政府办公室关于印发《十堰市参加湖北文化产业招商博览会工作方案》的通知',十堰市人民政府办公室,2010-09-19,已失效,地方政府规章及文件
'市人民政府办公室关于印发咸宁市组团参加湖北文化产业招商博览会实施方案的通知',咸宁市人民政府办公室,2010-09-15,已失效,地方政府规章及文件
'区人民政府办公室关于转发《洪山区参与湖北文化产业招商博览会实施方案》的通知',武汉市洪山区人民政府办公室,2010-09-13,现行有效,地方政府规章及文件
'市人民政府办公室关于印发湖北文化产业招商博览会宜昌市文化产业招商参展工作方案的通知',宜昌市人民政府办公室,2010-08-24,已失效,地方政府规章及文件
'市人民政府关于加快推进旅游业成为战略性支柱产业的意见',鄂州市人民政府,2010-08-20,现行有效,地方政府规章及文件
'省发展改革委关于发布实施《武汉国家生物产业基地区域生物产业园区认定管理办法》的通知',湖北省发展和改革委员会,2010-08-19,现行有效,地方政府规章及文件
'省发展改革委关于印发《湖北省重点产业调整和整形“三个五”工程实施方案》的通知',湖北省发展和改革委员会,2010-08-11,现行有效,地方政府规章及文件
'市人民政府办公室关于建立奶牛产业利益共享机制的实施意见',黄冈市人民政府办公室,2010-08-02,现行有效,地方政府规章及文件
'省发展改革委关于江陵县飞达现代物流有限公司江陵县飞达物流配送中心项目中央投资重点产业振兴和技术改造专项资金申请报告的批复',湖北省发展和改革委员会,2010-07-30,现行有效,地方政府规章及文件
'省发展改革委关于湖北李时珍国际医药港有限公司湖北李时珍国际医药港（一期）国家级中药材专业市场物流配送工程建设项目中央投资重点产业振兴和技术改造专项资金申请报告的批复',湖北省发展和改革委员会,2010-07-30,现行有效,地方政府规章及文件
'省发展改革委关于湖北春晖物流股份有限公司孝感粮食现代物流中心项目中央投资重点产业振兴和技术改造专项资金申请报告的批复',湖北省发展和改革委员会,2010-07-30,现行有效,地方政府规章及文件
'省发展改革委关于赤壁市国家粮食储备库赤壁市粮食物流园项目中央投资重点产业振兴和技术改造专项资金申请报告的批复',湖北省发展和改革委员会,2010-07-30,现行有效,地方政府规章及文件
'省发展改革委关于武汉工贸有限公司吴家山物流配送中心项目中央投资重点产业振兴和技术改造专项资金申请报告的批复',湖北省发展和改革委员会,2010-07-30,现行有效,地方政府规章及文件
'省发展改革委关于武汉梁子湖水产品加工有限公司5万吨冷链仓储物流建设项目中央投资重点产业振兴和技术改造专项资金申请报告的批复',湖北省发展和改革委员会,2010-07-30,现行有效,地方政府规章及文件
'省发展改革委关于湖北高泽物流有限责任公司湖北高泽物流中心项目中央投资重点产业振兴和技术改造专项资金申请报告的批复',湖北省发展和改革委员会,2010-07-30,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《黄冈化工产业园项目入园管理意见》的通知',黄冈市人民政府办公室,2010-06-21,现行有效,地方政府规章及文件
'省财政厅、省文化厅关于印发《湖北省扶持动漫产业发展专项资金管理办法（试行）》的通知',湖北省财政厅;湖北省文化厅,2010-05-13,现行有效,地方政府规章及文件
'省发展改革委关于湖北荆襄磷化循环产业园棚户区改造项目可行性研究报告的批复',湖北省发展和改革委员会,2010-04-30,现行有效,地方政府规章及文件
'市人民政府关于加快重点产业调整和振兴的意见',咸宁市人民政府,2010-04-30,现行有效,地方政府规章及文件
'荆州市人民政府关于进一步加快发展小龙虾产业的意见',荆州市人民政府,2010-04-27,现行有效,地方政府规章及文件
'市人民政府关于印发十堰市重点产业调整与振兴及新兴产业发展实施意见的通知',十堰市人民政府,2010-04-08,现行有效,地方政府规章及文件
'湖北省人民政府关于促进金融产业发展的若干意见',湖北省人民政府,2010-04-02,已被修订,地方政府规章及文件
'州人民政府办公室转发州科技局制定的《恩施州特色优势产业科技支撑行动计划》的通知',恩施土家族苗族自治州人民政府办公室,2010-01-12,现行有效,地方政府规章及文件
'印发《华容县“联手帮扶产业发展升级”行动实施方案》的通知',中共岳阳市华容县委办公室;岳阳市华容县人民政府办公室,2010-03-15,现行有效,地方政府规章及文件
'关于全面推进城乡一体化建设加快发展现代农业产业的意见',中共长沙市望城县委;长沙市望城县人民政府,2010-03-11,现行有效,地方政府规章及文件
'省农业厅关于推进我省有机乌龙茶产业开发的意见',湖北省农业厅,2010-02-01,现行有效,地方政府规章及文件
'市信息产业办公室转发工信部《关于开展物流信息化典型发现和试点示范工作的通知》的通知',武汉市信息产业办公室,2010-01-25,现行有效,地方政府规章及文件
'省发展改革委办公室、省卫生厅办公室转发《国家发展改革委办公厅、国家中医药管理局办公室关于组织实施现代重要高技术产业发展专项的通知》',湖北省发展和改革委员会办公室;湖北省卫生厅办公室,2009-12-30,现行有效,地方政府规章及文件
'市人民政府办公厅关于印发武汉市信息产业办公室主要职责内设机构和人员编制规定的通知',武汉市人民政府办公厅,2009-12-26,现行有效,地方政府规章及文件
'湖北省人民政府转发国务院《关于同意支持东湖新技术产业开发区建设国家自主创新示范区批复》的通知',湖北省人民政府,2009-12-24,现行有效,地方政府规章及文件
'市人民政府办公厅关于印发武汉市新兴产业投资贴息补助实施办法的通知',武汉市人民政府办公厅,2009-12-23,已失效,地方政府规章及文件
'中共十堰市委、十堰市人民政府关于加快高新技术产业发展的意见',中共十堰市委;十堰市人民政府,2009-12-11,现行有效,地方政府规章及文件
'区人民政府办公室关于转发《江岸地区现代服务业创意产业统计报表制度》的通知',武汉市江岸区人民政府办公室,2009-12-10,现行有效,地方政府规章及文件
'转发环境保护部《关于贯彻落实抑制部分行业产能过剩和重复建设引导产业健康发展的通知》',湖北省环境保护厅,2009-12-08,现行有效,地方政府规章及文件
'关于加强外商投资管理引导产业健康发展的通知',湖北省商务厅,2009-12-04,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《潜江市小龙虾产业一体化和循环经济改革试验项目实施方案》和《潜江市小龙虾产业一体化和循环经济改革试验项目财政扶持资金使用管理办法》的通知',潜江市人民政府办公室,2009-11-30,现行有效,地方政府规章及文件
'市人民政府办公室关于转发市燃化医药行业协会关于《襄樊市2009—2015年磷化工产业发展规划》的通知',襄樊市人民政府办公室,2009-11-25,现行有效,地方政府规章及文件
'关于印发荆州市7个重点产业调整和振兴落实方案及荆州市农产品加工产业5年发展规划的通知',荆州市人民政府,2009-11-06,现行有效,地方政府规章及文件
'关于印发《在环境保护工作领域促进省重点产业调整和振兴实施细则》的通知',湖北省环境保护厅办公室,2009-10-27,现行有效,地方政府规章及文件
'湖北省人民政府办公厅转发省文化厅等部门《关于推动全省动漫产业发展意见》的通知',湖北省人民政府办公厅,2009-09-11,现行有效,地方政府规章及文件
'湖北省人民政府关于加快茶叶产业发展的意见',湖北省人民政府,2009-09-11,已失效,地方政府规章及文件
'市人民政府关于进一步加快宜昌高新技术产业开发区建设的意见',宜昌市人民政府,2009-09-07,现行有效,地方政府规章及文件
'荆州市人民政府办公室关于印发荆州市现代水禽产业发展规划(2009-2014年)的通知',荆州市人民政府办公室,2009-09-03,现行有效,地方政府规章及文件
'州人民政府办公室关于印发《恩施自治州林业产业发展规划（2010—2015年）》的通知',恩施土家族苗族自治州人民政府办公室,2009-08-27,现行有效,地方政府规章及文件
'省科技厅关于印发《湖北省高新技术特色产业基地认定管理办法(试行)》的通知',湖北省科技厅,2009-08-24,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《十堰市旅游产业发展专项资金管理办法》的通知',十堰市人民政府办公室,2009-08-18,已失效,地方政府规章及文件
'市人民政府办公室转发市建委《关于加快新型墙体材料产业发展意见》的通知',天门市人民政府办公室,2009-07-31,现行有效,地方政府规章及文件
'省人民政府关于印发湖北省十个重点产业调整和振兴实施方案的通知',湖北省人民政府,2009-07-15,已失效,地方政府规章及文件
'省人民政府关于支持武汉东湖新技术产业开发区加快五大产业发展的若干意见',湖北省人民政府,2009-07-15,已失效,地方政府规章及文件
'市人民政府办公室转发人民银行襄樊市中心支行《关于襄樊市银行卡产业发展(2009－2012年)指导意见》的通知',襄樊市人民政府办公室,2009-07-04,现行有效,地方政府规章及文件
'市人民政府关于实施咸宁经济开发区长江产业园农产品加工基地建设项目的决定',咸宁市人民政府办公室,2009-06-16,现行有效,地方政府规章及文件
'关于印发《关于推进湖北省产业技术创新战略联盟建设的指导意见》的通知',湖北省科学技术厅;湖北省财政厅;湖北省教育厅;湖北省人民政府国有资产监督管理委员会;湖北省总工会;国家开发银行湖北省分行,2009-06-08,现行有效,地方政府规章及文件
'湖北省工商局关于贯彻落实《湖北省十个重点产业调整和振兴实施方案》的通知',湖北省工商行政管理局,2009-06-04,现行有效,地方政府规章及文件
'市人民政府关于加快蔬菜产业发展的意见',十堰市人民政府,2009-05-20,现行有效,地方政府规章及文件
'省财政厅、省商务厅、省信息产业厅关于转发《财政部、商务部、工业和信息化部关于加大家电下乡政策实施力度的通知》的通知',湖北省财政厅;湖北省商务厅;湖北省信息产业厅,2009-04-29,现行有效,地方政府规章及文件
'关于印发《岳麓区促进产业发展的若干规定》的通知',长沙市岳麓区人民政府,2009-04-15,现行有效,地方政府规章及文件
'关于支持和促进房地产业持续健康发展的若干意见',长沙市望城县人民政府,2009-04-14,已失效,地方政府规章及文件
'市人民政府办公室转发市农办、市多种经营办公室《关于加快我市茶叶产业发展意见》的通知',襄樊市人民政府办公室,2009-03-23,现行有效,地方政府规章及文件
'关于转发《省发展改革委转发国家发展改革委办公厅关于组织实施彩电产业战略转型产业化专项有关问题的通知》的通知',湖北省信息产业厅,2009-03-17,现行有效,地方政府规章及文件
'关于加快油茶产业发展的意见',长沙市望城县人民政府,2009-03-09,现行有效,地方政府规章及文件
'关于进一步规范生猪产业发展的意见',长沙市望城县人民政府,2009-02-18,现行有效,地方政府规章及文件
'区人民政府办公室关于印发户部巷汉味风情街产业发展指导目录及产业发展激励政策的通知',武汉市武昌区人民政府办公室,2009-02-17,现行有效,地方政府规章及文件
'湖北省文化厅关于印发《湖北省文化产业示范基地评选命名管理办法》的通知',湖北省文化厅,2009-02-10,现行有效,地方政府规章及文件
'湖北省人民政府办公厅关于印发《湖北省旅游产业发展部省合作协议实施方案》的通知',湖北省人民政府办公厅,2009-02-06,现行有效,地方政府规章及文件
'重庆市公安局办公室关于贯彻执行市政府关于扩大内需促进房地产业健康发展的实施意见的通知',重庆市公安局办公室,2009-01-23,已失效,地方政府规章及文件
'长沙市人民政府关于加快油茶产业发展的意见',长沙市人民政府,2009-01-21,现行有效,地方政府规章及文件
'市人民政府办公室关于印发宜昌市马铃薯产业发展规划（2009~2015）的通知',宜昌市人民政府办公室,2009-01-21,现行有效,地方政府规章及文件
'武汉市促进服务外包产业发展暂行规定',武汉发展服务外包工作领导小组,2009-01-16,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于加快发展服务外包产业的若干意见',长沙市人民政府办公厅,2009-01-16,现行有效,地方政府规章及文件
'黄冈市人民政府关于加快高新技术产业发展的意见',黄冈市人民政府,2008-12-31,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《潜江市马铃薯产业发展规划（2009—2015）》的通知',潜江市人民政府办公室,2008-12-09,现行有效,地方政府规章及文件
'荆州市人民政府办公室关于印发荆州市马铃薯产业发展规划(2008—2015)的通知',荆州市人民政府办公室,2008-12-02,现行有效,地方政府规章及文件
'市人民政府办公室关于印发鄂州市马铃薯产业发展规划(2008-2015)的通知',鄂州市人民政府办公室,2008-11-27,现行有效,地方政府规章及文件
'市人民政府办公室转发市发展改革委《关于加快我市培育和发展重点产业集群的指导意见》的通知',黄冈市人民政府办公室,2008-11-20,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《黄冈市马铃薯产业发展规划(2009—2015年)》的通知',黄冈市人民政府办公室,2008-11-19,现行有效,地方政府规章及文件
'市人民政府办公室转发市信息产业局《关于推广农村信息服务神农模式工作方案》的通知',黄冈市人民政府办公室,2008-11-11,现行有效,地方政府规章及文件
'荆州市人民政府关于加快电子信息产业发展的决定',荆州市人民政府,2008-11-09,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《天门市马铃薯产业发展规划(2008-2015年)》的通知',天门市人民政府办公室,2008-11-06,现行有效,地方政府规章及文件
'市人民政府办公室转发市农业产业化办公室、市林业局《关于大力发展油茶产业的意见》的通知',襄樊市人民政府办公室,2008-11-05,现行有效,地方政府规章及文件
'湖北省促进产业集群发展激励性转移支付资金管理暂行办法',湖北省财政厅;湖北省经济委员会,2008-10-27,现行有效,地方政府规章及文件
'市人民政府办公室关于印发十堰市马铃薯产业发展规划(2009—2015年)的通知',十堰市人民政府办公室,2008-10-22,现行有效,地方政府规章及文件
'中共硚口区委办公室、硚口区人民政府办公室印发《关于编制硚口区重点区域产业发展规划的工作方案》的通知',中共武汉市硚口区委办公室;武汉市硚口区人民政府办公室,2008-10-20,已失效,地方政府规章及文件
'湖北省关于转发省发展改革委湖北省生物产业发展规划（2008—2015年）的通知',湖北省人民政府办公厅,2008-09-27,现行有效,地方政府规章及文件
'关于转发工业和信息化部《关于下达2008年电子信息产业发展基金“倍增计划”贷款贴息项目计划的通知》的通知',湖北省信息产业厅,2008-09-25,现行有效,地方政府规章及文件
'湖北省人民政府办公厅关于印发湖北省马铃薯产业发展规划（2008-2015）的通知',湖北省人民政府办公厅,2008-09-05,现行有效,地方政府规章及文件
'关于印发《武汉市信息产业局依法合理行使行政处罚自由裁量权及三步式程序规定》的通知',武汉市信息产业局,2008-09-04,现行有效,地方政府规章及文件
'市人民政府关于加快现代水产业建设的意见',荆门市人民政府,2008-08-08,现行有效,地方政府规章及文件
'区人民政府关于促进汉阳造文化创意产业集聚区发展的若干意见',武汉市汉阳区人民政府,2008-08-05,现行有效,地方政府规章及文件
'关于促进我市房地产业健康发展的若干意见',长沙市人民政府,2008-07-20,现行有效,地方政府规章及文件
'关于印发《湖北省扶持优势文化产业发展专项资金管理暂行办法》的通知',湖北省财政厅;湖北省委宣传部,2008-07-10,现行有效,地方政府规章及文件
'市人民政府关于促进畜禽产业持续健康发展的意见',武汉市人民政府,2008-07-08,现行有效,地方政府规章及文件
'湖北省信息产业厅关于印发《湖北省电子电器产品维修服务行业实施行政许可暂行规程》的通知',湖北省信息产业厅,2008-06-12,现行有效,地方政府规章及文件
'市人民政府办公室批转市发改委《关于组织编制“一区三园”统筹发展规划、申报国家高新技术产业开发区等有关工作方案》的通知',黄石市人民政府办公室,2008-06-06,现行有效,地方政府规章及文件
'湖北省人民政府关于深化改革创新机制加速全省高新技术产业发展的意见（试行）',湖北省人民政府,2008-05-30,已失效,地方政府规章及文件
'省林业局关于加快天然林保护工程区林业产业发展的指导意见',湖北省林业局,2008-05-19,现行有效,地方政府规章及文件
'武汉市人民政府办公厅关于印发武汉市都市工业园区产业发展规划纲要（2008——2011年）的通知',武汉市人民政府办公厅,2008-04-23,现行有效,地方政府规章及文件
'区人民政府关于印发武昌区促进文化创意产业发展若干政策的通知',武汉市武昌区人民政府,2008-04-01,现行有效,地方政府规章及文件
'湖北省重点成长型产业集群管理试行办法',湖北省经济委员会,2008-01-29,现行有效,地方政府规章及文件
'湖北省信息产业厅关于表彰行业发展先进单位的决定',湖北省信息产业厅,2008-01-04,现行有效,地方政府规章及文件
'湖北省信息产业厅关于表彰产业招商先进单位的决定',湖北省信息产业厅,2008-01-04,现行有效,地方政府规章及文件
'湖北省信息产业厅关于表彰企业创新先进单位的决定',湖北省信息产业厅,2008-01-04,现行有效,地方政府规章及文件
'湖北省信息产业厅关于表彰无线电管理先进单位的决定',湖北省信息产业厅,2008-01-04,现行有效,地方政府规章及文件
'市人民政府办公室转发市农业局《关于加快茶叶产业发展的意见》的通知',黄冈市人民政府办公室,2007-12-28,现行有效,地方政府规章及文件
'湖北省人民政府关于促进产业集群发展的意见',湖北省人民政府,2007-11-07,已失效,地方政府规章及文件
'长沙市人民政府关于发展产业技术联盟的通知',长沙市人民政府,2007-11-06,现行有效,地方政府规章及文件
'湖北省人民政府关于促进生猪产业发展的意见',湖北省人民政府,2007-10-24,已失效,地方政府规章及文件
'武汉市人民政府办公厅关于加快林果产业发展的意见',武汉市人民政府办公厅,2007-10-23,现行有效,地方政府规章及文件
'转发新闻出版总署、公安部、国家工商行政管理总局、信息产业部关于规范利用互联网从事印刷经营活动的通知',广东省新闻出版局;广东省公安厅;广东省工商行政管理局;广东省通信管理局,2007-09-30,现行有效,地方政府规章及文件
'省地方税务局关于认真落实林业产业税收优惠政策的通知',湖北省地方税务局,2007-09-12,现行有效,地方政府规章及文件
'市人民政府办公室关于印发《黄石市招商引资重点产业指导目录》、《黄石市关于组织专班开展产业定向招商工作的意见》、《黄石市招商引资工作领导小组工作规则》的通知',黄石市人民政府办公室,2007-09-11,现行有效,地方政府规章及文件
'黄石市人民政府办公室关于印发《黄石市招商引资重点产业指导目录》、《黄石市关于组织专班开展产业定向招商工作的意见》、《黄石市招商引资工作领导小组工作规则的通知',黄石市人民政府办公室,2007-09-11,现行有效,地方政府规章及文件
'市人民政府办公室关于启用湖北宜昌经济开发区管理委员会和宜昌高新技术产业园区管理委员会印章的通知',宜昌市人民政府办公室,2007-08-07,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于加快蔬菜产业发展的通知',长沙市人民政府办公厅,2007-05-24,现行有效,地方政府规章及文件
'关于加快产业发展的若干规定',中共长沙市岳麓区委;长沙市岳麓区人民政府,2007-05-23,现行有效,地方政府规章及文件
'宜昌市人民政府办公室关于开展三峡工程坝区产业发展调研的通知',宜昌市人民政府办公室,2007-05-12,现行有效,地方政府规章及文件
'黄冈市人民政府关于促进房地产业持续健康发展的意见',黄冈市人民政府,2007-04-17,现行有效,地方政府规章及文件
'武汉市人民政府办公厅关于积极促进服务外包产业发展的意见',武汉市人民政府办公厅,2007-04-06,现行有效,地方政府规章及文件
'咸宁市人民政府办公室关于实施咸宁经济开发区长江产业园农产品加工基地项目的决定',咸宁市人民政府办公室,2007-04-03,现行有效,地方政府规章及文件
'黄冈市人民政府关于印发《黄冈城区房地产业税收征收管理办法》的通知',黄冈市人民政府,2007-03-23,现行有效,地方政府规章及文件
'黄冈市人民政府办公室关于加快发展小龙虾产业的意见',黄冈市人民政府办公室,2007-03-01,现行有效,地方政府规章及文件
'省教育厅关于做好2006年度全国普通高校校办产业统计工作的通知',湖北省教育厅,2007-01-18,现行有效,地方政府规章及文件
'黄石市人民政府关于加强自主创新促进成套技术装备产业发展的意见',黄石市人民政府,2007-01-16,现行有效,地方政府规章及文件
'湖北省人民政府关于印发湖北省高新技术产业发展“十一五”规划的通知',湖北省人民政府,2006-12-31,现行有效,地方政府规章及文件
'湖北省发改委、湖北省信息产业厅印发《湖北省国民经济和社会发展信息化“十一五”规划》的通知',湖北省发展和改革委员会;湖北省信息产业厅,2006-12-30,现行有效,地方政府规章及文件
'恩施土家苗族自治州人民政府办公室转发州人行关于恩施州银行卡产业发展实施规划纲要的通知',恩施土家族苗族自治州人民政府办公室,2006-12-22,现行有效,地方政府规章及文件
'湖北省发改委、湖北省农业厅印发《湖北省优质稻产业发展规划（2006——2010年）》的通知',湖北省发展和改革委员会;湖北省农业厅,2006-11-29,现行有效,地方政府规章及文件
'十堰市人民政府办公室关于印发十堰市“十一五”银行卡产业发展实施纲要的通知',十堰市人民政府办公室,2006-10-27,现行有效,地方政府规章及文件
'咸宁市人民政府关于合理发展全市森工板材产业有关问题的通知',咸宁市人民政府,2006-10-09,现行有效,地方政府规章及文件
'武汉市人民政府办公厅印发关于促进都市产业发展规范市都市产业投资发展有限责任公司运作方案的通知',武汉市人民政府办公厅,2006-08-05,现行有效,地方政府规章及文件
'宜昌市人民政府办公室转发人行市中心支行关于宜昌市银行卡产业发展（2006——2010年）指导意见的通知',宜昌市人民政府办公室,2006-08-01,现行有效,地方政府规章及文件
'宜昌市人民政府办公室关于切实抓好当前生猪产业发展的通知',宜昌市人民政府办公室,2006-07-26,现行有效,地方政府规章及文件
'潜江市人民政府关于加快服装产业发展的意见',潜江市人民政府,2006-06-23,现行有效,地方政府规章及文件
'湖北省财政厅、湖北省信息产业厅关于印发《湖北省软件产业专项资金管理暂行办法》的通知',湖北省财政厅;湖北省信息产业厅,2006-06-19,现行有效,地方政府规章及文件
'恩施土家苗族自治州人民政府办公室转发州农业局关于加快发展绿色食品产业实施方案的通知',恩施土家苗族自治州人民政府办公室,2006-04-28,现行有效,地方政府规章及文件
'湖北省人民政府办公厅转发省教育厅等部门关于积极发展和规范管理高校科技产业意见的通知',湖北省人民政府办公厅,2006-04-27,现行有效,地方政府规章及文件
'武汉市人民政府关于支持武汉国家生物医药产业基地建设的意见',武汉市人民政府,2006-04-20,现行有效,地方政府规章及文件
'荆州市人民政府关于加强我市电子信息产业行业管理的意见',荆州市人民政府,2006-03-31,现行有效,地方政府规章及文件
'潜江市人民政府关于印发《潜江市鼓励第三产业发展优惠政策》的通知',潜江市人民政府,2006-03-08,现行有效,地方政府规章及文件
'三亚市公安局、三亚市科学技术与信息产业局关于开展我市信息系统安全等级保护基础调查工作的通知',三亚市公安局,2006-02-23,现行有效,地方政府规章及文件
'中共襄樊市委、襄樊市人民政府关于进一步加快高新技术产业开发区建设和发展的意见',中共襄樊市委;襄樊市人民政府,2006-02-06,现行有效,地方政府规章及文件
'湖北省人民政府办公厅关于加快发展绿色食品产业的通知',湖北省人民政府办公厅,2006-01-27,现行有效,地方政府规章及文件
