车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
吉利 博越 2018款 1.8TD 自动两驱智联型4G互联版,7.98,14.09,2018,5.28,1.8T,0,3
起亚K5 2016款 2.0L 自动LUX,9.78,19.08,2017,5.2,2.0L,0,4
本田 艾力绅 2016款 2.4L 至尊版,24.9,33.63,2016,4.06,2.4L,0,5
起亚K5 2014款 2.0L 自动LUXURY,8.8,20.49,2015,8.05,2.0L,0,6
吉利 博瑞 2018款 1.8T 舒适智领版,7.99,15.72,2018,3.57,1.8T,0,3
福特 野马 2017款 2.3T 性能版(进口),27.9,43.07,2018,3.53,2.3T,0,3
奔驰E级 2011款 E 260 L CGI时尚型,13.8,60.79,2012,14.12,1.8T,0,9
大众 迈腾 2018款 330TSI DSG 领先型,16.58,23.87,2018,6.79,1.8T,0,3
吉利 博越 2018款 1.8TD 自动两驱智联型4G互联版,9.28,14.09,2019,4.31,1.8T,0,2
日产 逍客 2017款 2.0L CVT智享版 国V,11.99,17.13,2018,3.69,2.0L,0,3
大众 途观 2017款 300TSI 自动两驱丝绸之路舒适版,15.98,25.16,2019,2.82,1.8T,0,2
大众 速腾 2016款 230TSI 25周年纪念版,10.68,17.78,2017,8.0,1.4T,0,4
吉利 帝豪GS 2018款 优雅版 1.8L 自动领尚型,6.5,10.07,2018,3.49,1.8L,0,3
福特 福克斯 2019款 两厢 EcoBoost 180 自动ST Line,10.59,16.37,2019,2.66,1.5T,0,2
本田 INSPIRE 2019款 锐·混动 2.0L 净雅版 国V,17.85,22.34,2019,2.85,2.0L,0,2
宝马X1 2012款 sDrive18i 时尚型,9.8,30.61,2012,14.47,2.0L,0,9
雪佛兰 科鲁兹 2009款 1.8L SE AT,3.7,14.64,2010,11.34,1.8L,0,11
福特 蒙迪欧 2020款 EcoBoost 180 时尚型,15.98,20.93,2021,0.01,1.5T,0,0
马自达3星骋 2011款 三厢 1.6L 手动舒适型,3.4,12.24,2012,10.2,1.6L,1,9
奥迪A6L 2015款 30 FSI 百万纪念舒享型,25.8,48.81,2016,12.1,2.5L,0,5
日产 轩逸 2019款 1.6XV CVT智联尊享版 国VI,10.28,15.23,2019,2.58,1.6L,0,2
大众 迈腾 2012款 旅行版 2.0TSI 舒适型(进口),13.85,39.14,2014,8.41,2.0T,0,7
大众 迈腾 2012款 1.8TSI 豪华型,7.9,25.27,2011,14.44,1.8T,0,10
日产 骐达 2016款 1.6L CVT智行版,8.5,13.34,2017,5.8,1.6L,0,4
大众 高尔夫 2012款 1.4TSI 自动舒适型,6.18,15.72,2012,10.64,1.4T,0,9
大众 迈腾 2019款 330TSI DSG 豪华型 国V,18.18,24.87,2019,3.46,2.0T,0,2
大众 速腾 2018款 1.6L 自动舒适型,10.68,16.04,2018,2.8,1.6L,0,3
大众CC 2016款 2.0TSI 豪华型,16.8,30.81,2017,4.1,2.0T,0,4
宝马3系 2016款 320Li 进取型,19.78,35.36,2016,8.23,2.0T,0,5
大众 途观 2012款 1.8TSI 自动两驱风尚版,8.8,25.38,2012,10.69,1.8T,0,9
大众 帕萨特 2017款 330TSI DSG御尊版,16.0,26.47,2019,3.92,1.8T,0,2
大众 朗逸 2011款 1.6L 手动品雅版,3.2,13.33,2012,10.8,1.6L,1,9
大众 帕萨特 2014款 1.8TSI DSG御尊版,9.46,26.03,2014,9.45,1.8T,0,7
大众 迈腾 2019款 380TSI DSG 豪华型 国V,18.0,26.5,2019,7.0,2.0T,0,2
大众 途观 2010款 2.0TSI 自动四驱旗舰版,8.68,32.0,2011,12.5,2.0T,0,10
大众 捷达 2015款 质惠版 1.6L 手动时尚型,5.18,9.29,2017,6.48,1.6L,1,4
马自达 阿特兹 2018款 2.0L 蓝天豪华版 国VI,15.38,20.6,2019,1.5,2.0L,0,2
现代 领动 2016款 1.6L 自动智炫·精英型,7.8,13.0,2018,7.35,1.6L,0,3
奔驰C级 2011款 C 180K 经典型,9.98,33.43,2012,9.9,1.6T,0,9
大众 高尔夫 2012款 1.6 自动舒适型,6.6,14.42,2013,12.33,1.6L,0,8
奥迪A4L 2019款 40 TFSI 时尚型 国V,25.5,36.45,2019,1.48,2.0T,0,2
哈弗H6 2018款 蓝标 运动版 1.5T 自动两驱精英型,8.3,12.27,2018,4.05,1.5T,0,3
大众 途观 2012款 1.8TSI 自动两驱风尚版,8.8,25.38,2012,10.69,1.8T,0,9
本田 思域 2016款 220TURBO CVT豪华版,11.8,15.19,2017,6.29,1.5T,0,4
大众 迈腾 2015款 改款 1.8TSI 豪华型,11.8,25.27,2016,10.42,1.8T,0,5
雪佛兰 科鲁泽 2020款 轻混 RS 330T 自动畅快版,8.5,12.8,2020,1.4,1.4T,0,1
起亚KX3 2017款 1.6L 自动傲尊版,8.18,16.8,2017,5.3,1.6L,0,4
福特 福克斯 2018款 三厢经典 1.6L 自动风尚型智行版,7.98,15.07,2018,2.66,1.6L,0,3
奔驰GLA级 2016款 GLA 200 时尚型,18.88,31.46,2016,6.57,1.6T,0,5
奥迪A6L 2014款 TFSI 舒适型,23.69,48.48,2015,18.54,2.0T,0,6
大众 迈腾 2016款 1.8TSI 智享领先型,12.8,24.18,2016,5.7,1.8T,0,5
大众 速腾 2018款 280TSI DSG熠动版,11.1,17.78,2018,3.43,1.4T,0,3
大众 迈腾 2017款 330TSI DSG 豪华型,16.18,25.5,2017,7.55,1.8T,0,4
大众 速腾 2018款 280TSI DSG熠动版,11.38,17.78,2019,4.0,1.4T,0,2
本田 雅阁 2016款 2.0L 舒适版,13.98,19.52,2016,6.63,2.0L,0,5
本田 歌诗图 2012款 2.4L 豪华版,12.9,28.2,2014,7.0,2.4L,0,7
马自达3 2010款 两厢 1.6自动豪华型(进口),6.0,17.45,2014,8.5,1.6L,0,7
马自达CX-4 2018款 2.0L 自动两驱蓝天活力版 国VI,12.38,16.59,2019,0.6,2.0L,0,2
奥迪Q5 2018款 典藏版 40 TFSI 技术型,27.58,45.99,2018,6.89,2.0T,0,3
大众CC 2016款 1.8TSI 豪华型,17.98,29.18,2018,6.88,1.8T,0,3
沃尔沃C30 2012款 2.0L Aktiv(进口),6.28,24.42,2012,6.54,2.0L,0,9
本田 飞度 2014款 1.5L LX CVT舒适型,6.0,8.88,2016,6.9,1.5L,0,5
吉利 帝豪GL 2018款 1.8L 自动精英智联型,6.59,10.51,2018,6.1,1.8L,0,3
宝马X3 2014款 xDrive20i X设计套装(进口),27.58,54.49,2016,6.53,2.0T,0,5
大众 宝来 2011款 1.6L 自动时尚型,4.3,13.0,2011,12.5,1.6L,0,10
奔驰C级 2015款 改款 C 200 L,23.8,38.4,2016,8.23,2.0T,0,5
现代 索纳塔八 2011款 2.0L 自动尊贵版,5.88,21.48,2011,11.44,2.0L,0,10
马自达 阿特兹 2015款 2.0L 蓝天时尚版,10.18,19.52,2015,6.43,2.0L,0,6
奥迪A6L 2019款 40 TFSI 豪华动感型,36.8,44.48,2020,2.65,2.0T,0,1
大众CC 2013款 1.8TSI 豪华型,12.74,29.18,2014,10.05,1.8T,0,7
雪佛兰 科帕奇 2012款 2.4L 两驱城市版 5座,6.18,23.86,2013,12.0,2.4L,0,8
福特 锐界 2015款 2.0T GTDi 两驱铂锐型,14.68,30.37,2015,6.21,2.0T,0,6
大众 朗逸 2018款 280TSI DSG舒适版 国V,10.48,15.95,2018,2.4,1.4T,0,3
别克 英朗 2015款 18T 双离合精英型,6.38,15.29,2016,4.6,1.4T,0,5
大众 途观 2015款 1.8TSI 自动四驱豪华型,12.98,30.05,2015,12.5,1.8T,0,6
别克 英朗 2016款 15N 手动进取型,4.9,11.93,2016,6.86,1.5L,1,5
本田CR-V 2015款 2.0L 两驱风尚版,14.7,21.69,2016,7.08,2.0L,0,5
现代 菲斯塔 2019款 280TGDi 智速版 国VI,11.58,15.28,2019,2.6,1.6T,0,2
大众 速腾 2011款 1.6L 自动舒适型,3.95,16.04,2011,12.0,1.6L,0,10
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,7.8,13.67,2016,7.89,1.5L,0,5
别克 英朗 2010款 GT 1.6T 新锐运动版,3.78,20.33,2012,10.73,1.6T,0,9
大众 高尔夫 2011款 1.4TSI 自动舒适型,6.28,16.26,2012,9.8,1.4T,0,9
奔驰C级 2015款 C 200 运动版 4MATIC,23.18,42.31,2016,7.65,2.0T,0,5
哈弗H6 2019款 红标 1.5GDIT 自动豪华智联版,9.78,13.79,2019,4.4,1.5T,0,2
WEY VV7 2017款 2.0T 旗舰型,13.68,20.49,2018,3.58,2.0T,0,3
宝马3系 2011款 320i敞篷轿跑版(进口),13.8,63.39,2010,13.8,2.0L,0,11
大众 速腾 2019款 200TSI DSG舒适型 国VI,12.8,16.27,2019,0.57,1.2T,0,2
起亚 智跑 2016款 2.0L 自动两驱版GL,9.1,17.24,2017,5.2,2.0L,0,4
大众 宝来 2012款 1.6L 手动时尚型,3.3,11.7,2011,9.0,1.6L,1,10
别克GL8 2018款 28T 豪华型 国VI,23.68,27.45,2019,1.7,2.0T,0,2
大众 捷达 2017款 1.5L 自动时尚型,6.42,10.38,2018,3.34,1.5L,0,3
大众 途观 2012款 1.8TSI 自动两驱风尚版,7.88,25.38,2013,12.3,1.8T,0,8
宝马X1 2012款 sDrive18i豪华型(进口),12.18,39.84,2013,4.23,2.0L,0,8
吉利 远景X6 2020款 1.4T CVT亚运版,8.58,10.84,2019,1.29,1.4T,0,2
雪佛兰 科鲁兹 2013款 1.8L SE AT,3.8,14.86,2013,11.64,1.8L,0,8
大众 捷达 2017款 1.5L 自动时尚型,6.98,10.38,2018,4.26,1.5L,0,3
吉利 帝豪 2017款 两厢RS百万款 1.5L 手动向上版,3.93,8.34,2017,4.88,1.5L,1,4
日产 奇骏 2020款 2.0L CVT智联舒适版 2WD,17.5,21.63,2020,0.01,2.0L,0,1
现代ix25 2015款 2.0L 自动四驱尊贵型DLX,8.8,20.28,2016,6.6,2.0L,0,5
大众 捷达 2017款 1.5L 自动时尚型,5.8,10.38,2017,3.0,1.5L,0,4
现代 朗动 2015款 1.6L 手动领先型,5.78,12.57,2015,7.09,1.6L,1,6
大众 途观 2012款 2.0TSI 舒适版(进口),10.8,39.73,2013,14.0,2.0T,0,8
现代ix25 2015款 1.6L 自动两驱智能型GLS,8.38,15.5,2016,7.84,1.6L,0,5
别克 英朗 2019款 15T 双离合互联精英型 国VI,6.8,13.99,2019,3.46,1.0T,0,2
日产 骐达 2011款 1.6L CVT舒适型,6.5,12.52,2014,5.17,1.6L,0,7
大众 帕萨特 2011款 1.8TSI 自动尊荣版,7.9,23.42,2012,14.46,1.8T,0,9
奥迪A5 2019款 Sportback 40 TFSI 时尚型(进口),31.7,40.36,2019,3.09,2.0T,0,2
大众 帕萨特 2017款 330TSI DSG尊荣版,12.96,24.2,2017,10.25,1.8T,0,4
大众 高尔夫 2016款 230TSI 自动舒适型,9.98,16.81,2017,2.17,1.4T,0,4
大众 速腾 2015款 1.6L 自动舒适型,8.08,16.37,2016,4.97,1.6L,0,5
起亚K5 2012款 2.0L 自动DLX,7.28,20.49,2013,9.4,2.0L,0,8
大众POLO 2014款 1.6L 自动舒适版,6.6,11.28,2016,10.07,1.6L,0,5
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,6.1,14.85,2016,5.6,1.5T,0,5
福特 福睿斯 2017款 改款 1.5L 自动舒适型,6.58,11.7,2018,3.75,1.5L,0,3
大众 高尔夫 2015款 1.6L 自动舒适型,9.58,15.73,2017,5.97,1.6L,0,4
起亚K2 2011款 三厢 1.4L AT GLS,3.2,9.32,2011,8.99,1.4L,0,10
起亚K4 2017款 1.8L 自动GLS Special,8.88,16.26,2017,2.05,1.8L,0,4
雪佛兰 赛欧 2013款 三厢 1.2L AMT理想版,2.98,7.25,2014,7.0,1.2L,0,7
日产 轩逸 2020款 1.6L XL CVT智享版,11.88,14.53,2019,1.6,1.6L,0,2
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,7.5,9.53,2019,2.52,1.5L,0,2
哈弗H1 2015款 1.5L 手动豪华型,3.58,7.91,2015,9.2,1.5L,1,6
马自达 阿特兹 2017款 2.5L 蓝天运动版,13.98,21.69,2017,3.3,2.5L,0,4
福特 蒙迪欧 2017款 EcoBoost 200 豪华型,12.48,24.62,2017,7.85,2.0T,0,4
大众 途观 2012款 1.8TSI 自动两驱菁英版,7.6,27.66,2012,14.8,1.8T,0,9
现代 索纳塔九 2015款 1.6T GLS智能型,9.5,21.14,2015,9.12,1.6T,0,6
吉利 远景 2015款 1.5L 手动精英型,2.88,6.28,2015,8.6,1.5L,1,6
大众POLO 2016款 1.4L 自动风尚型,5.84,9.54,2016,4.53,1.4L,0,5
大众 途观 2016款 300TSI 自动四驱风尚视野版,11.38,26.68,2016,8.47,1.8T,0,5
本田 奥德赛 2015款 2.4L 尊享版,16.5,31.13,2015,12.5,2.4L,0,6
大众 迈腾 2015款 1.8TSI 领先型,12.5,23.86,2015,6.2,1.8T,0,6
大众CC 2020款 330TSI 魅颜版 国VI,22.88,28.53,2020,0.01,2.0T,0,1
奔驰GLA级 2016款 GLA 200 时尚型,17.58,31.46,2016,6.9,1.6T,0,5
大众 迈腾 2018款 330TSI DSG 领先型,16.98,23.87,2018,5.17,1.8T,0,3
本田 艾力绅 2016款 2.4L 至尊版,24.48,33.63,2016,8.53,2.4L,0,5
大众 帕萨特 2015款 1.8TSI DSG尊荣版,12.58,23.75,2016,11.46,1.8T,0,5
大众 帕萨特 2019款 280TSI 商务版 国VI,14.88,20.07,2019,2.3,1.4T,0,2
大众 高尔夫 2016款 1.6L 自动舒适型,8.8,15.73,2016,2.58,1.6L,0,5
雪佛兰 科鲁兹 2018款 320 自动先锋天窗版,6.5,13.56,2018,7.0,1.5L,0,3
马自达CX-5 2012款 2.0L 两驱舒适版(进口),8.88,25.38,2014,11.62,2.0L,0,7
马自达3星骋 2011款 三厢 1.6L 自动精英型,4.4,13.98,2011,7.8,1.6L,0,10
大众 迈腾 2012款 改款 1.8TSI 领先型,9.38,23.86,2012,8.58,1.8T,0,9
奥迪Q5 2016款 40 TFSI 进取型,20.8,41.62,2016,10.72,2.0T,0,5
丰田 凯美瑞 2016款 2.0E 十周年纪念精英版,12.38,20.39,2016,16.53,2.0L,0,5
雪佛兰 创酷 2014款 1.4T 自动两驱舒适型,5.65,13.23,2015,7.4,1.4T,0,6
大众 捷达 2015款 质惠版 1.6L 自动舒适型,5.8,11.46,2016,10.02,1.6L,0,5
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.6,21.63,2020,1.2,2.0L,0,1
哈弗F5 2018款 1.5T i潮,9.2,12.59,2019,4.87,1.5T,0,2
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.88,21.63,2019,3.0,2.0L,0,2
宝马X1 2010款 sDrive18i豪华型(进口),8.99,39.84,2011,10.79,2.0L,0,10
大众 迈腾 2018款 改款 330TSI DSG 豪华型,16.8,25.5,2018,6.0,1.8T,0,3
现代 全新胜达 2015款 2.4L 自动两驱智能型 5座,9.58,26.03,2015,7.45,2.4L,0,6
丰田 凯美瑞 2018款 2.5HG 豪华版,23.0,26.03,2018,4.26,2.5L,0,3
起亚K2 2015款 两厢 1.4L AT GLS炫酷版,4.75,9.54,2016,6.06,1.4L,0,5
奥迪A3 2018款 30周年年型 Sportback 40 TFSI 风尚型,16.98,27.21,2018,3.11,2.0T,0,3
Jeep 指南者 2014款 2.4L 四驱运动版(进口),8.68,26.69,2014,5.0,2.4L,0,7
哈弗M6 2017款 1.5T 自动两驱精英型,7.98,11.38,2018,3.02,1.5T,0,3
大众 途观 2015款 1.8TSI 自动两驱豪华型,11.8,28.2,2015,6.8,1.8T,0,6
丰田 皇冠 2017款 2.0T 运动版,25.58,32.0,2018,4.11,2.0T,0,3
福特 翼虎 2017款 EcoBoost 180 四驱豪翼型,11.68,24.94,2017,9.67,1.5T,0,4
雪佛兰 迈锐宝XL 2018款 530T 自动锐逸版,12.68,22.24,2019,2.83,1.5T,0,2
大众POLO 2016款 1.4L Cross Polo 自动,6.4,10.52,2016,5.28,1.4L,0,5
福特 福睿斯 2015款 1.5L 自动时尚型,5.6,13.0,2015,8.1,1.5L,0,6
大众CC 2020款 330TSI 魅颜版 国VI,22.88,28.53,2020,0.01,2.0T,0,1
福特 致胜 2013款 2.3L 时尚型,5.98,19.52,2014,15.73,2.3L,0,7
大众 高尔夫 2012款 1.4TSI 自动舒适型,5.98,15.72,2012,12.94,1.4T,0,9
大众 捷达 2015款 质惠版 1.6L 手动时尚型,5.18,9.29,2017,6.48,1.6L,1,4
大众 途观 2013款 2.0TSI 自动四驱旗舰版,10.38,34.28,2013,12.15,2.0T,0,8
奔驰C级 2018款 C 180 L 时尚型运动版,24.0,35.15,2018,0.79,1.6T,0,3
宝马3系 2017款 320Li M运动型,23.66,38.41,2017,4.49,2.0T,0,4
丰田 凯美瑞 2018款 2.0G 豪华版,18.8,21.69,2018,1.77,2.0L,0,3
大众 迈腾 2017款 330TSI DSG 豪华型,14.98,25.5,2016,4.55,1.8T,0,5
大众 迈腾 2013款 1.8TSI 豪华型,9.6,25.27,2014,16.06,1.8T,0,7
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,7.5,9.31,2017,1.93,1.5L,0,4
马自达CX-4 2018款 2.0L 自动两驱蓝天活力版 国VI,12.68,16.59,2019,2.2,2.0L,0,2
丰田 雷凌 2018款 185T CVT豪华版,9.95,14.09,2018,1.42,1.2T,0,3
雪佛兰 2015款 赛欧3 1.3L AMT理想版,4.2,7.48,2017,2.15,1.3L,0,4
大众 2019款 宝来·传奇 1.5L 自动时尚型 国VI,8.0,11.81,2019,4.44,1.5L,0,2
奔驰E级 2017款 E 200 运动型,28.6,45.89,2017,12.8,2.0T,0,4
雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型,4.6,14.53,2015,6.96,1.6L,0,6
大众 迈腾 2017款 330TSI DSG 豪华型,16.0,25.5,2017,5.36,1.8T,0,4
吉利 博越 2016款 1.8TD 自动智联型,8.28,13.87,2017,5.14,1.8T,0,4
本田CR-V 2015款 2.0L 两驱都市版,14.5,20.6,2015,6.58,2.0L,0,6
大众 宝来 2012款 1.6L 自动时尚型,4.5,13.0,2012,6.0,1.6L,0,9
奔驰E级 2016款 E 200 L,34.58,47.41,2017,6.62,2.0T,0,4
大众 高尔夫 2015款 1.6L 自动时尚型,7.98,14.53,2015,8.5,1.6L,0,6
起亚K3 2016款 1.6L 自动天窗版,6.88,11.92,2016,4.22,1.6L,0,5
大众CC 2016款 2.0TSI 豪华型,15.8,30.81,2016,7.3,2.0T,0,5
大众 宝来 2016款 1.6L 自动舒适型,7.99,14.31,2016,5.1,1.6L,0,5
别克 君威 2015款 1.6T 精英技术型,8.6,22.78,2015,8.55,1.6T,0,6
别克 凯越 2013款 1.5L 手动经典型,2.98,10.52,2013,16.0,1.5L,1,8
本田 锋范经典 2008款 1.5L 自动精英版,4.88,12.68,2012,9.59,1.5L,0,9
大众 高尔夫 2011款 1.4TSI 自动舒适型,5.9,16.26,2011,12.45,1.4T,0,10
宝马3系 2018款 320Li 时尚型,23.98,35.15,2018,7.24,2.0T,0,3
现代 朗动 2016款 1.6L 自动智能型,7.38,12.57,2018,3.55,1.6L,0,3
大众 宝来 2019款 1.5L 自动精英型,9.98,15.09,2019,1.81,1.5L,0,2
本田 凌派 2019款 180Turbo CVT舒适版 国VI,8.68,11.92,2019,2.59,1.0T,0,2
丰田 汉兰达 2012款 2.7L 两驱5座精英版,14.3,27.01,2013,15.64,2.7L,0,8
大众 途观 2013款 1.8TSI 自动两驱豪华型,10.3,28.2,2014,6.76,1.8T,0,7
大众 宝来 2012款 1.6L 手动舒适型,4.18,12.9,2012,9.0,1.6L,1,9
宝马5系 2013款 525Li 领先型,19.8,49.89,2013,12.69,2.0T,0,8
丰田 YARiS L 致炫 2015款 1.5E 自动魅动版,6.6,9.31,2016,7.92,1.5L,0,5
现代 途胜 2015款 1.6T 双离合两驱智能型,10.6,19.53,2016,5.6,1.6T,0,5
起亚KX5 2016款 1.6T 自动两驱DLX,10.8,19.19,2017,2.46,1.6T,0,4
哈弗M6 2017款 1.5T 自动两驱精英型,7.98,11.38,2018,3.02,1.5T,0,3
本田 锋范 2015款 1.5L CVT舒适版,6.8,9.75,2016,6.83,1.5L,0,5
起亚 K5凯酷 2020款 270T CVVD 豪华科技版,16.38,19.3,2021,0.03,1.5T,0,0
奥迪A6L 2015款 TFSI 百万纪念智领型,23.8,43.22,2016,11.0,2.0T,0,5
大众 速腾 2018款 280TSI DSG熠动版,10.88,17.78,2018,4.18,1.4T,0,3
宝马X1 2018款 sDrive18Li 尊享型,19.99,32.98,2018,2.08,1.5T,0,3
大众 高尔夫 2011款 1.4TSI 自动舒适型,5.58,16.26,2012,9.2,1.4T,0,9
吉利 帝豪 2015款 三厢 1.5L 手动向上版,3.7,8.66,2015,4.74,1.5L,1,6
奔驰A级 2020款 改款 A 200 L 运动轿车动感型,21.98,27.12,2020,0.5,1.3T,0,1
日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.8,21.36,2016,5.14,2.0L,0,5
大众 迈腾 2019款 330TSI DSG 豪华型 国V,17.8,24.87,2019,2.69,2.0T,0,2
福特 福克斯 2012款 两厢 1.6L 自动风尚型,5.8,15.62,2013,8.82,1.6L,0,8
大众 朗逸 2018款 两厢 200TSI DSG风尚版 国V,8.68,14.21,2019,5.39,1.2T,0,2
福特 翼虎 2013款 2.0L GTDi 四驱尊贵型,7.08,29.94,2013,7.26,2.0T,0,8
别克 昂科威 2017款 20T 两驱技术型,13.88,22.78,2017,4.52,1.5T,0,4
大众 帕萨特 2016款 330TSI DSG尊荣版,13.88,24.2,2016,9.2,1.8T,0,5
马自达 昂克赛拉 2019款 云控版 三厢 1.5L 自动舒适型 国VI,10.18,13.45,2019,3.76,1.5L,0,2
本田 飞度 2014款 1.5L LX CVT舒适型,6.38,8.88,2016,6.0,1.5L,0,5
奔驰M级 2010款 ML 350 4MATIC豪华型特别版(进口),16.98,97.48,2011,15.8,3.5L,0,10
本田XR-V 2015款 1.8L VTi CVT豪华版,11.8,17.67,2016,3.8,1.8L,0,5
雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座,7.98,22.78,2014,6.7,2.4L,0,7
起亚K3 2016款 1.6L 自动天窗版,7.0,11.92,2017,5.83,1.6L,0,4
宝马3系 2020款 改款 325i M运动套装,31.0,34.07,2020,0.56,2.0T,0,1
福特 蒙迪欧 2017款 改款 EcoBoost 180 时尚型,12.98,20.93,2018,3.72,1.5T,0,3
大众 朗逸 2017款 1.6L 自动风尚版,7.4,12.91,2018,3.7,1.6L,0,3
起亚K3 2016款 1.6L 手动GL,5.9,10.51,2017,4.72,1.6L,1,4
日产 奇骏 2014款 2.0L CVT舒适版 2WD,13.8,21.36,2016,6.99,2.0L,0,5
马自达CX-7 2014款 2.5L 2WD 豪华版,9.18,24.94,2014,8.0,2.5L,0,7
大众 速腾 2014款 改款 1.6L 自动舒适型,7.0,16.37,2014,14.95,1.6L,0,7
现代 朗动 2012款 1.6L 自动领先型,4.7,13.66,2013,10.0,1.6L,0,8
本田 凌派 2015款 1.8L 自动豪华版,7.98,14.63,2015,7.65,1.8L,0,6
现代 领动 2016款 1.6L 自动智炫·精英型,7.89,13.0,2017,4.79,1.6L,0,4
奔驰C级 2010款 C 200 CGI 优雅型,8.18,37.77,2011,11.83,1.8T,0,10
现代 瑞纳 2014款 1.4L 手动智能型GLS,3.75,8.56,2015,5.98,1.4L,1,6
奔驰GLA级 2015款 GLA 200 动感型,16.8,29.29,2016,6.57,1.6T,0,5
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 时尚型,16.58,23.86,2019,3.43,1.4T,0,2
吉利 远景X1 2017款 1.3L 自动乐趣版,3.6,5.74,2017,4.05,1.3L,0,4
江淮 瑞风M5 2016款 1.9T 柴油手动商务版,8.18,16.12,2016,7.0,1.9T,1,5
别克 凯越 2013款 1.5L 手动经典型,3.8,10.52,2014,6.66,1.5L,1,7
哈弗H2s 2017款 红标 1.5T 双离合豪华型,7.7,11.16,2017,0.43,1.5T,0,4
哈弗H6 Coupe 2018款 红标 1.5T 自动两驱豪华型,8.6,13.13,2018,2.81,1.5T,0,3
福特 蒙迪欧 2013款 1.5L GTDi180舒适型,8.5,19.52,2014,11.78,1.5T,0,7
大众 途锐 2011款 3.0TSI 高配型(进口),22.8,89.55,2012,12.47,3.0T,0,9
大众 宝来 2019款 1.5L 自动时尚型,9.18,13.24,2019,4.04,1.5L,0,2
现代 名图 2017款 1.6T 自动智能型GLS 国V,11.28,17.35,2018,2.68,1.6T,0,3
日产 骐达 2011款 1.6T M-CVT致酷版,5.75,17.24,2012,11.15,1.6T,0,9
大众 途观 2013款 1.8TSI 自动两驱豪华型,10.3,28.2,2014,6.76,1.8T,0,7
奥迪A3 2020款 Limousine 35 TFSI 进取型 国V,15.98,21.19,2020,0.95,1.4T,0,1
马自达3星骋 2013款 三厢 1.6L 手动精英型,4.3,13.0,2014,4.3,1.6L,1,7
奥迪A4L 2013款 35 TFSI 自动技术型,13.98,40.14,2013,12.14,2.0T,0,8
宝马5系 2017款 520Li 典雅型,27.3,47.28,2017,7.6,2.0T,0,4
本田 艾力绅 2019款 2.0L 混动豪华版,29.99,33.63,2020,3.75,2.0L,0,1
起亚K2 2015款 三厢 1.4L AT版,5.18,9.0,2017,2.96,1.4L,0,4
大众CC 2016款 2.0TSI 豪华型,17.58,30.81,2017,3.5,2.0T,0,4
标致2008 2014款 1.6L 自动时尚版,6.38,13.21,2016,1.5,1.6L,0,5
马自达 阿特兹 2020款 2.5L 蓝天运动版,18.98,21.69,2020,1.0,2.5L,0,1
吉利 远景SUV 2018款 1.4T CVT 4G互联旗舰型,7.98,11.5,2019,1.23,1.4T,0,2
奔驰V级 2016款 V 260 L 尊贵加长版,39.8,67.08,2016,15.48,2.0T,0,5
大众 途观 2013款 2.0TSI 自动四驱旗舰版,10.38,34.28,2013,12.15,2.0T,0,8
奔驰S级 2012款 S 300 L 商务简配型(进口),29.8,93.13,2013,10.8,3.0L,0,8
现代 菲斯塔 2019款 280TGDi 运动版 国VI,10.68,14.52,2019,2.85,1.6T,0,2
凯迪拉克ATS-L 2017款 28T 时尚型,16.68,31.89,2017,9.43,2.0T,0,4
马自达6 2011款 2.0L 自动时尚型,5.36,19.52,2012,5.95,2.0L,0,9
大众 迈腾 2018款 改款 330TSI DSG 豪华型,16.88,25.5,2018,8.93,1.8T,0,3
奥迪A3 2020款 Limousine 35 TFSI 时尚型,17.88,23.85,2020,1.31,1.4T,0,1
现代 索纳塔八 2011款 2.0L 自动豪华版,6.16,20.61,2012,11.0,2.0L,0,9
宝马3系GT 2019款 320i 时尚型(进口),29.68,39.06,2019,5.24,2.0T,0,2
大众 捷达 2013款 1.6L 自动时尚型,6.0,10.67,2014,10.51,1.6L,0,7
大众 迈腾 2017款 280TSI DSG 领先型,12.68,22.78,2017,7.33,1.4T,0,4
本田 杰德 2017款 1.8L 自动舒适版 5座,12.58,15.19,2018,5.2,1.8L,0,3
大众CC 2013款 1.8TSI 尊贵型,13.38,27.44,2014,10.7,1.8T,0,7
起亚KX3 2017款 1.6L 自动傲雅版,8.2,15.28,2017,5.02,1.6L,0,4
大众 帕萨特 2015款 1.8TSI DSG尊荣版,14.7,23.75,2018,5.2,1.8T,0,3
大众 朗行 2013款 1.4TSI 自动舒适型,6.6,16.38,2014,8.28,1.4T,0,7
大众 高尔夫 2016款 1.6L 自动舒适型,8.58,15.73,2016,6.14,1.6L,0,5
本田 思域 2016款 220TURBO CVT豪华版,10.38,15.19,2017,7.13,1.5T,0,4
